Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;CUMULO;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;dubbi;commenti
PTA016;#77834;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=2305190&end=2308270;2305190;2308270;TOR006;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;sì ero andato // okay // danish girl // eh // mi era quasi piaciuto è stato // okay // carino // assolutamente // se no marvel;quindi;supereroi // marvel sì quelli li ho visti tutti quanti supereroi // il tuo supereroe preferito è? // x x xxxx preferito;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOA1007;#78479;doc#10;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1007&begin=189251&end=189861;189251;189861;BO035;BOA1007;0,003483796;;https://search.corpuskiparla.it/corpus/conversations/BOA1007.html;https://search.corpuskiparla.it/corpus/conversations/BOA1007_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;ricevimento studenti;tutta la prima parte del programma visto che lei // ah okay // la seconda invece così com'' è sì // rimane invariata // okay;quindi;// anche perché dev~ mh la seconda pur avendo // in quel programma precedente l'' interazione in classe non era lei non ha;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;
KPC002;#86653;doc#11;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=2140184&end=2143010;2140184;2143010;PKP056;KPC002;0,034479167;;https://search.corpuskiparla.it/corpus/conversations/KPC002.html;https://search.corpuskiparla.it/corpus/conversations/KPC002_jefferson.html;51-55;F;;intell;;;toscana;laurea;3;pasto;se questi volevan campare lui ha fatto // eh appunto // certo che è andato loro so~ ehm insomma col camion han viaggato // e;quindi;proprio perché se no non puoi lavorare // lui ha preso un appartamento quando ha saputo che il fratello era in quarantena;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi
BOD2005;#105690;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=267826&end=272751;267826;272751;BO073;BOD2005;0,023009259;;https://search.corpuskiparla.it/corpus/conversations/BOD2005.html;https://search.corpuskiparla.it/corpus/conversations/BOD2005_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;intervista semistrutturata;rimaste vuote sono state afittate a altri però diciamo che praticamente là c'' è tutta la famiglia rossi di mia madre // e;quindi;là c'' era pure lidia mia cugina cioè stavamo sempre insieme era bellissimo // eh ma quindi tu poi ti passavi le giornate;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi
BOD2005;#108360;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=1075919&end=1081605;1075919;1081605;BO021;BOD2005;0,023009259;;https://search.corpuskiparla.it/corpus/conversations/BOD2005.html;https://search.corpuskiparla.it/corpus/conversations/BOD2005_jefferson.html;21-25;F;;stud;;;campania;laurea in corso;3;intervista semistrutturata;è xxx // e le domande come le leggi? // no no ma io mo so quali sono perché appunto è un'' intervista semi strutturata;quindi;a me basta sapere qualche // le linee guida? // topic le linee guida e poi so qual è lo scopo // io lo so voi non lo saprete //;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD2006;#111455;doc#14;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=55780&end=59030;55780;59030;BO049;BOD2006;0,013159722;;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;lingue e letterature moderne // mh // e // mi sono occupato di letterature comparate // io non lo sapevo questo // bene // e;quindi;in questo momento sei un attimo in pausa // stai lavorando? // prima di iniziare il dottorato o cosa // ho lavorato nel;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi
KPN009;#130589;doc#17;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN009&begin=920478&end=923951;920478;923951;PKP093;KPN009;0,026527778;;https://search.corpuskiparla.it/corpus/conversations/KPN009.html;https://search.corpuskiparla.it/corpus/conversations/KPN009_jefferson.html;21-25;M;;stud;;;toscana;laurea in corso;4;pasto;// son tipo quelle tipo le fave // un po'' sì // terra // son tipo le fave san di fave // eh son fave // poi si sfarinano un po'';quindi;non sembrano poi effettivamente però non sono male eh // sì poi sono fave quelle // io le odio // sì non proprio i baccelli;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA021;#137630;doc#18;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=1149264&end=1152589;1149264;1152589;BOI090;PBA021;0,031608796;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;divertire senza fare danni ecco // quindi sì // però ecco quello è il luogo dove tutti i bolognesi vanno d''estate // mh //;quindi;se tu chiedi a un qualsiasi bolognese lui va a lido di spina d''estate // quindi tu come la maggior parte dei bolognesi da;;;;;1;;1;;;;;;;;;;;;;;;;;1;;;;;;1;;
KPS015;#143417;doc#19;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=299519&end=302237;299519;302237;PKP083;KPS015;0,027789352;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;21-25;F;;stud;;;sardegna;laurea in corso;3;pasto;fa ri~ // ah // eh // che mi fa ridere è che ogni volta che ci siamo usciti // cioè che ci siamo visti // io ho portato un dolce e;quindi;// // // xxx // perchè la prima volta era il compleanno di mariachiara la coinquilina // ah // e ho portato la cheesecake //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;frase interrota da risata
KPS015;#143613;doc#19;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=348942&end=350444;348942;350444;PKP083;KPS015;0,027789352;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;21-25;F;;stud;;;sardegna;laurea in corso;3;pasto;// ehm // e invece adesso sto boh vabbè non lo so era in un ristorante ha detto che non c''era la cheesecake // ah ah // e;quindi;aveva preso la panna cotta // ah ah? // allora lì mi è venuta l~ in mente // la mh l''idea di fare la panna cotta // panna cotta;;perciò;e dopo;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi
