Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;CUMULO;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;dubbi;commenti
PBB010;#1641753;doc#227;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB010&begin=1724148&end=1726283;1724148;1726283;BOI030;PBB010;0,021851852;;https://search.corpuskiparla.it/corpus/conversations/PBB010.html;https://search.corpuskiparla.it/corpus/conversations/PBB010_jefferson.html;31-35;F;;comm;;;estero;med;2;intervista semistrutturata;perchè tutti vanno alla fine // mhmh // c''è sempre // è sempre desiderata maga~ da tutti vanno tutti là // sì // sì sì // e;quindi;ci sono tutti // tutte le erbe // mhmh // bellissimo // mhmh // ci sono delle ville là che rimani senza parole // eh sì // mhmh;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;
TOC1005;#1642556;doc#228;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1005&begin=104713&end=115393;104713;115393;TO021;TOC1005;0,017314815;;https://search.corpuskiparla.it/corpus/conversations/TOC1005.html;https://search.corpuskiparla.it/corpus/conversations/TOC1005_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;esame;trusteeovvero non come vero e proprio proprietario bensì come eh un curatore di questi beni // eh questo s~ si sviluppa;quindi;questo istituto il problema è che ileh common law non prevedeva una vera e propria ehm diciamo così // mh ma no~ // eh non;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA018;#1646367;doc#229;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA018&begin=47030&end=49670;47030;49670;BOI082;PBA018;0,02431713;;https://search.corpuskiparla.it/corpus/conversations/PBA018.html;https://search.corpuskiparla.it/corpus/conversations/PBA018_jefferson.html;21-25;M;;oper;;;campania;dip_lic;2;intervista semistrutturata;che non avevo mai fatto un lavoro manuale // okay // eh // cioè l''ambiente praticamente // quello di operai // okay //;quindi;cioè io che sono una persona molto più // cioè considera che io in realtà ho fatto anche un pochino di università // okay //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA018;#1648511;doc#229;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA018&begin=795355&end=796446;795355;796446;BOI082;PBA018;0,02431713;;https://search.corpuskiparla.it/corpus/conversations/PBA018.html;https://search.corpuskiparla.it/corpus/conversations/PBA018_jefferson.html;21-25;M;;oper;;;campania;dip_lic;2;intervista semistrutturata;// ma poi la cosa più particolare s~ è la gente // cioè conta che noi siamo tipo in eh // quaranta persone più o meno // okay //;quindi;sia~ siamo in un po'' // e ogni giorno sei con gente diversa // cioè te praticamente arrivi in magazzino c''hai un foglio //;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBA018;#1649674;doc#229;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA018&begin=1189820&end=1193440;1189820;1193440;BOR022;PBA018;0,02431713;;https://search.corpuskiparla.it/corpus/conversations/PBA018.html;https://search.corpuskiparla.it/corpus/conversations/PBA018_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;2;intervista semistrutturata;quindi // no no no ma in realtà lui è uno dei più assurdi // okay // quello più normale ah bella domanda // ce ne son pochi // e;quindi;nel senso maggior parte son giovani oppure // allora mh età media sui // trentacinque quarant''anni // okay // i giovani;;;;;1;1;;;;;;;;;;1;;;;;;;;1;;;;;;1;;e quindi
BOD2017;#1655330;doc#230;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2017&begin=1157342&end=1162656;1157342;1162656;BO121;BOD2017;0,017476852;;https://search.corpuskiparla.it/corpus/conversations/BOD2017.html;https://search.corpuskiparla.it/corpus/conversations/BOD2017_jefferson.html;21-25;M;;stud;;;abruzzo;laurea in corso;2;intervista semistrutturata;dal momento che tu la conosci // che ti ci presenti che dai un nome a quella persona ti ritrovi ad incontrarla spesso //;quindi;è proprio una città che ti spinge a conoscere ad approfondire le persone senza // eh // togliersi niente // mh mh // e;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
TOA3001;#1656586;doc#231;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3001&begin=117412&end=125079;117412;125079;TO033;TOA3001;0,022060185;;https://search.corpuskiparla.it/corpus/conversations/TOA3001.html;https://search.corpuskiparla.it/corpus/conversations/TOA3001_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;3;conversazione libera;''sta riunione perché // tu capisci ma cosa ho fatto oggi // ma no ma poi io // no poi io volevo alzare la mano e dire ma scusi;quindi;se noi facciamo la ricerca comparata per un dottorato va bene no perché così volevo sapere // ma poi ma tu hai trovato la;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;ma scusa quindi
TOA3001;#1662329;doc#231;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3001&begin=1810886&end=1815612;1810886;1815612;TO033;TOA3001;0,022060185;;https://search.corpuskiparla.it/corpus/conversations/TOA3001.html;https://search.corpuskiparla.it/corpus/conversations/TOA3001_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;3;conversazione libera;han fatto lì la triennale o comunque cioè parte degli studi l'' han fatta lì // e // sì sicuramente sì anche la famiglia e;quindi;la provenienza sociale // il loro modo // anche xxx figurati cioè anche perché // mari xxx di quest'' anno ai ragazzi;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC006;#1687126;doc#236;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC006&begin=242165&end=247768;242165;247768;BOI017;PBC006;0,036203704;;https://search.corpuskiparla.it/corpus/conversations/PBC006.html;https://search.corpuskiparla.it/corpus/conversations/PBC006_jefferson.html;66-70;F;;artig;;;emilia-romagna;dip_lic;3;intervista semistrutturata;vecchie di di di questo condominio // sì // mh mhmh // e che poi è stata sgomberata ovviamente e quindi così // sì quindi //;quindi;complessivamente effettivamente era si presentava come un luogo un po'' degradato // s~ // si presentava // e quindi a;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC006;#1692447;doc#236;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC006&begin=2013167&end=2018990;2013167;2018990;BOI017;PBC006;0,036203704;;https://search.corpuskiparla.it/corpus/conversations/PBC006.html;https://search.corpuskiparla.it/corpus/conversations/PBC006_jefferson.html;66-70;F;;artig;;;emilia-romagna;dip_lic;3;intervista semistrutturata;realizzati in forma // partecipata ecco questo è il nostro // è la è come dire la denominazione degli interventi // ehm //;quindi;con le scuole fondamentalmente e i soggetti del territorio che a seconda del // del tema // dell''argomento // sono;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBC006;#1693704;doc#236;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC006&begin=2505507&end=2507380;2505507;2507380;BOI018;PBC006;0,036203704;;https://search.corpuskiparla.it/corpus/conversations/PBC006.html;https://search.corpuskiparla.it/corpus/conversations/PBC006_jefferson.html;71-75;M;;tec;;;emilia-romagna;laurea;3;intervista semistrutturata;per esempio questo allestimento // per raccontare che cosa? i lavori // ne~ i lavori nell''acqua in città e in campagna //;quindi;c''erano le risaie // la coltura della canapa le lavandaie in città // #e l''umarell che si è tirato su le braghe per non;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC006;#1695034;doc#236;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC006&begin=2996000&end=2998530;2996000;2998530;BOI017;PBC006;0,036203704;;https://search.corpuskiparla.it/corpus/conversations/PBC006.html;https://search.corpuskiparla.it/corpus/conversations/PBC006_jefferson.html;66-70;F;;artig;;;emilia-romagna;dip_lic;3;intervista semistrutturata;lor~ abbiamo chiesto a loro che co~ di rappresentarci bologna // come la vedevano loro // una cosa che // sì // e quindi e;quindi;questo è // per loro era un pos~ che p~ che gli piaceva // poi appunto abbiamo fatto e e abbiamo deciso di metterle qua in;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi e quindi
TOD1002;#1695864;doc#238;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1002&begin=18530&end=23750;18530;23750;TO004;TOD1002;0,06212963;;https://search.corpuskiparla.it/corpus/conversations/TOD1002.html;https://search.corpuskiparla.it/corpus/conversations/TOD1002_jefferson.html;;M;;intell;;;;phd;1;lezione;lo faremo da domani // eh // voi dovete abituarvi all'' idea // mi dispiace dirlo perché rappresento questa università e;quindi;lo faccio con tante scuse // che in questa università molte cose // non funzionano // tra quelle le cose che non;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOD1002;#1699438;doc#238;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1002&begin=1647885&end=1650225;1647885;1650225;TO004;TOD1002;0,06212963;;https://search.corpuskiparla.it/corpus/conversations/TOD1002.html;https://search.corpuskiparla.it/corpus/conversations/TOD1002_jefferson.html;;M;;intell;;;;phd;1;lezione;// che // il volume // dipende da voi e non solo il volume voi potete abbassare p~ o abbassare la luminosità eccetera //;quindi;è una osservazione interessante teniamocela in mente // ma // c'' è anche altro // cioè // sì poi magari ci sono anche delle;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC007;#1710436;doc#239;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=1421560&end=1426560;1421560;1426560;BOI019;PBC007;0,04369213;;https://search.corpuskiparla.it/corpus/conversations/PBC007.html;https://search.corpuskiparla.it/corpus/conversations/PBC007_jefferson.html;over 85;F;;pens;;;emilia-romagna;dip_lic;2;intervista semistrutturata;// e lei ha qualche ricordo della guerra di qualcosa che ha vissuto lei in prima persona? // io io non abitavo a bologna;quindi;non t~ non ti posso parlare dei ricordi della guerra di bologna // mhmh // mhmh // ma eh dei ricordi della mia guerra sì // io;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC007;#1711365;doc#239;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=1841990&end=1846590;1841990;1846590;BOI019;PBC007;0,04369213;;https://search.corpuskiparla.it/corpus/conversations/PBC007.html;https://search.corpuskiparla.it/corpus/conversations/PBC007_jefferson.html;over 85;F;;pens;;;emilia-romagna;dip_lic;2;intervista semistrutturata;di aviazione // ma poi noi avevamo una fabbrica // dove venivano // revisionati i motori degli aerei // la caproni // e;quindi;noi avevamo bombardamenti e quindi noi abbiamo vissuto molto nei ehm // nei nei rifugi // sotto terra // siccom il mio è un;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;non lo so  ;
PBC007;#1715921;doc#239;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=3665950&end=3666390;3665950;3666390;BOI019;PBC007;0,04369213;;https://search.corpuskiparla.it/corpus/conversations/PBC007.html;https://search.corpuskiparla.it/corpus/conversations/PBC007_jefferson.html;over 85;F;;pens;;;emilia-romagna;dip_lic;2;intervista semistrutturata;proprio tutto partendo dal medioevo rinascimento // che anche lì // c''è tanta presenza italiana // fi~ fino a liberty //;quindi;// lì la grande capitale dell''impero // tedes~ n~ nella sua testa pensa mo te quanta roba // in più in più eh questa povera;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PTB008;#1777732;doc#250;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB008&begin=252010&end=254650;252010;254650;TOR005;PTB008;0,017592593;;https://search.corpuskiparla.it/corpus/conversations/PTB008.html;https://search.corpuskiparla.it/corpus/conversations/PTB008_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;3;intervista semistrutturata;dei paesi // nei paesetti a comprare il sabato anche in settimana // perché avevamo cerimonia di tutte p~ // pellicce //;quindi;era un negozio di di pregio comunque conosciuto // tutto tutto // sì sì sì sì sì // mh conosciuto // e e niente i padroni;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
KPC001;#1782304;doc#251;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC001&begin=78949&end=81670;78949;81670;PKP026;KPC001;0,022905093;;https://search.corpuskiparla.it/corpus/conversations/KPC001.html;https://search.corpuskiparla.it/corpus/conversations/KPC001_jefferson.html;51-55;F;;uff;;;marche;dip_tec_prof;2;pasto;azzurra // freccia azzurra // allora io domenica me devo sveglia'' quindi // c''hai il matrimonio // matrimonio //;quindi;sabato sera come vi organizzate // allora se io al non so neanche a che ora è se è alle dieci io bisogna che sabato boh andrò a;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
KPC001;#1784331;doc#251;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC001&begin=816696&end=818049;816696;818049;PKP025;KPC001;0,022905093;;https://search.corpuskiparla.it/corpus/conversations/KPC001.html;https://search.corpuskiparla.it/corpus/conversations/KPC001_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;2;pasto;entrava faceva pagare // lo fa paga'' // tre euro // sì // eh infatti ma io non lo sapè // non prendi il tè? // sì ma scotta // //;quindi;boh sabato // però mi so'' divertita // c''era la sala è piccolo // c''era la sala ehm come si chiama principale? // sì // bella;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
KPC001;#1786890;doc#251;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC001&begin=1854675&end=1855993;1854675;1855993;PKP025;KPC001;0,022905093;;https://search.corpuskiparla.it/corpus/conversations/KPC001.html;https://search.corpuskiparla.it/corpus/conversations/KPC001_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;2;pasto;non l''hai fatta ieri o stamattina // ma quindi gio~ // domani lavori // l''ho fatta ieri ma mh // so'' andata a cammina'';quindi;// senza i capelli // mh // va bene // allora adesso li lavo io i capelli // io ho finito un tubo de vivinci // ma perchè? // sta;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;non ne sono molto sicura;
BOA1009;#1787369;doc#252;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1009&begin=47470&end=50078;47470;50078;BO026;BOA1009;0,005081019;;https://search.corpuskiparla.it/corpus/conversations/BOA1009.html;https://search.corpuskiparla.it/corpus/conversations/BOA1009_jefferson.html;56-60;F;;intell;;;basilicata;phd;2;ricevimento studenti;dei segni // ho parlato con la professoressa rossi che ha accettato il mio progetto era molto entusiasta per cui //;quindi;il brokering da parte dei bambini // dei bambini udenti // udenti // però bilingui italiano lingua dei segni // per // mh;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;
BOD2019;#1807212;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=3740&end=4454;3740;4454;BO122;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;eh // okay // sì sì // // va bene // grazie // ti ringrazio molto // ah // adesso // allora questa è quella definitiva //;quindi;inizi // continuando a sperare che duri almeno mezz'' ora questo telefono // però // allora // gracias // de nada // qui;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
BOD2019;#1807447;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=90056&end=91188;90056;91188;BO122;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;// mediterraneo capito un po'' il dialetto quello del sud non so quale di preciso però // esatto // vabbè // ehm // ci sta //;quindi;eh ah // la mia casa di bologna cominciamo un po'' dalla parte // diciamo concreta // è ''na casa in affitto ovviamente // ehm;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2019;#1807540;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=118968&end=122102;118968;122102;BO119;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;F;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;l'' avete cambiato voi? // appena arrivati abbiamo chiesto che venisse cambiato perché era era // non l'' avete pagato;quindi;ve l'' hanno dato loro? ah beh cavolo // no no no no no // era una specie de boh de grande buco nero dentro dentro // mado~ //;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD2019;#1808616;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=435938&end=438606;435938;438606;BO122;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;il freakout il mikasa // il mikasa // ah già anche il locomotiv è lì // il locomotiv è a un passo dietro la lidl // sì //;quindi;locomotiv mikasa freakout e il buco // ce so andato pochissimo però comunque c'' ho quattro locali tutti intorno capito?;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
BOD2019;#1810516;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=972534&end=975940;972534;975940;BO119;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;F;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;spiegamme // ah beh sì // beh vabbè // è un po'' una cosa che // un po'' un'' altra visione magari // esatto sì // eh vabbè quindi;quindi;diciamo ni // in conclusione i ragazzi del gruppo dell'' accademia // esatto i ragazzi del gruppo e dell'' accademia la;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;vabbè quindi diciamo
BOD2019;#1811671;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1327473&end=1328593;1327473;1328593;BO119;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;F;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;quindi insomma // cioè inizi ad ave'' un po'' le tue libertà // però anche meno comodità // in un certo senso // esatto //;quindi;anche per quello // molte meno comodità // quindi non so magari quando torni poi dopo quel mese a bologna // torni qua e sei;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD2019;#1812213;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1479976&end=1482693;1479976;1482693;BO122;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;// quattro maschi con con che sentono l'' esigenza di pulire il loro habitat solo // mai? // solo ogni~ ogni mille anni e;quindi;// certo // quindi sì eh qua c'' ho tutto veramente // c'' ho mh tutto quello che me serve // per qualunque tipo di necessità a;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;quindi certo
BOD2019;#1813397;doc#255;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1821911&end=1825822;1821911;1825822;BO122;BOD2019;0,02224537;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;starò sempre a casa // poi per altri che ne so i restanti sei mesi ipotesi dell'' anno non sarò mai a casa // per esempio //;quindi;questo me permette anche de magari de non esse troppo attaccato a sta cosa // mh mh // però in realtà inconsciamente lo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTB023;#1815860;doc#256;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB023&begin=738370&end=742342;738370;742342;TOI113;PTB023;0,033321759;;https://search.corpuskiparla.it/corpus/conversations/PTB023.html;https://search.corpuskiparla.it/corpus/conversations/PTB023_jefferson.html;61-65;M;;intell;;;piemonte;laurea;2;intervista semistrutturata;tutti a torino fredo olivero che io // mh mh // non per nulla lo chiamavano il prete comunista // figlio di partigiani // e;quindi;niente visto che stasera fa molto brutto magari andrò lì // col mio ombrellino così // bello // bello oddio // faremo un;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi niente
PTA002;#1830627;doc#259;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA002&begin=145870&end=150160;145870;150160;TOI003;PTA002;0,003923611;;https://search.corpuskiparla.it/corpus/conversations/PTA002.html;https://search.corpuskiparla.it/corpus/conversations/PTA002_jefferson.html;26-30;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;prudono le bulloneria e viteria normale // mh mh // quella base noi facciamo ci occupiamo solo dello speciale // okay //;quindi;siamo un''azienda unica in italia che fa questa cosa qua // mh mh // okay // e di concreto cioè durante il giorno cosa fai?;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOC1006;#1843324;doc#261;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=312999&end=321440;312999;321440;BO143;BOC1006;0,015972222;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;le eh le conoscenze da una lingua all'' altra che sono appunto il lessico internazionale il lessico panromanzo;quindi;diciamo il lessico affine tra le varie // lingue romanze elencate // eh le corrispondenze fonologiche la grafia e la;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;quindi diciamo
BOC1006;#1843788;doc#261;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=454600&end=456000;454600;456000;BO143;BOC1006;0,015972222;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;che corrisponde a quelli che sono i propri obbiettivi // si costruisce appunto un percorso di lettura // ehmh // e;quindi;insomma // sì // e poi sì // quindi ad esempio ci si focalizza a esempio sul si cerca appunto di capire il genere // eh il;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;e quindi insomma
BOC1006;#1845358;doc#261;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=958010&end=962551;958010;962551;BO143;BOC1006;0,015972222;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;e distinguiamo tra autenticità interazionale // e autenticità situazionale // eh ileh principio appunto;quindi;uso appunto di materiali autentici o semiautentici // e quindi avevamo appunto visto la differenza fra materiale;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTB024;#1847974;doc#262;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=608608&end=611220;608608;611220;TOR015;PTB024;0,016238426;;https://search.corpuskiparla.it/corpus/conversations/PTB024.html;https://search.corpuskiparla.it/corpus/conversations/PTB024_jefferson.html;31-35;M;;intell;;;piemonte;phd;3;intervista semistrutturata;// ah che cosa facevate // a parte che non non è che si si usc~ usc~ usciva // mh // e avere trop~ tante amicizie io // okay //;quindi;non ti viene in mente niente tipo // dove ci si inc~ se ci si incontrava da qualche parte cosa // cosa si faceva tipo mh bar;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;il cumulo sarebbe con okay, ma non so se è un vero e proprio cumulo perché anche se è prodotto dallo  stesso parlante, Okay ha un'autonomia intonativa che lo rende funzionale alla chiusura di un topic, quindi mi verrebbe da considerarlo separato da quindi
PTB024;#1848662;doc#262;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=837020&end=839220;837020;839220;TOR015;PTB024;0,016238426;;https://search.corpuskiparla.it/corpus/conversations/PTB024.html;https://search.corpuskiparla.it/corpus/conversations/PTB024_jefferson.html;31-35;M;;intell;;;piemonte;phd;3;intervista semistrutturata;ma anche lì facevo il pomeriggio se ti ricordi perché non bastavano le scuole perché i bambini erano tanti // sì // sì // ah;quindi;c''erano tanti bambini all''epoca // sì // mh // sì // capito // eh // quelli di via artom andavano tutti lì // per forza dove;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD1003;#1851029;doc#263;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=198417&end=207290;198417;207290;BO092;BOD1003;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;1;lezione;stata esattamente la stessa co~ non era su un aereo vero era un aer~ su un simulatore professionali che usano i piloti;quindi;non era sul computerino di casa // va bene detto questo c'' è un argomento di fondo su cui ehm // eh in qualche maniera se uno;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1003;#1851267;doc#263;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=291136&end=297103;291136;297103;BO092;BOD1003;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;1;lezione;quando dicevamo // che un // un quarto della popolazione // mondiale un quinto della popolazione mondiale è cinese // e;quindi;l'' idea è mh io ho già quattro figli il quinto che mi nasce sicuramente è cinese o molto probabilmente è cinese // dove sta;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1003;#1853473;doc#263;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=1181182&end=1185609;1181182;1185609;BO092;BOD1003;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;1;lezione;anche se qui va da meno infinito // e qui va da più infinito non ci sia nient'' altro cioè la probabilità deve essere uno //;quindi;l'' integrale di questo affare deve essere da meno infinito a più infinito uno // beh in realtà // la cosa bisogna;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1003;#1854957;doc#263;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=1835466&end=1842217;1835466;1842217;BO092;BOD1003;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;1;lezione;uno zeta uno uno zeta due // uno zeta tre // eccetera eccetera eccetera // e gli zeta che troviamo // soddisfano questo //;quindi;una volta che abbiamo fatto quella piccola trasformazione usando sta tabella conosciamo tutto del nostro insieme // e;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;
