Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;
KPN029;#99891;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=864680&end=866288;864680.0;866288.0;KPN029;PKP139;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;pasto;// sono andati là a fare questa giornata di sci // ma è tipo sci~ ah okay a sciare // tip~ tu pagavi cinquanta euro // e stavi;praticamente;una giornata // cinquanta euro compreso // è poco per andare a sciare è poco // il viaggio // eh // il ehm le c~;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
KPN029;#100905;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=1149790&end=1151164;1149790.0;1151164.0;KPN029;PKP140;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;26-30;F;;intell;;;basilicata;laurea;3;pasto;super tranquilla // l''altra era un po'' tutta // ua ua ua cioé dai io sono brava // piena // io sono su per così // oddio // eh;praticamente;// successe che una sera // eh andammo c~ in questo locale // a prendere un po'' di birra sai a monaco vai // beh certo ci;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;1.0;
KPN029;#102595;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=1576450&end=1577860;1576450.0;1577860.0;KPN029;PKP140;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;26-30;F;;intell;;;basilicata;laurea;3;pasto;na roba allucina~ // tremendo // e noi eravamo proprio sotto // cioè noi eravamo xx nel // nel seminterrato // // perché;praticamente;tu entravi // e c''erano // due aule // in basso // tipo nello scantinato non lo so // mh // capito tipo a discesa //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
KPN015;#105655;doc#14;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=682525&end=692320;682525.0;692320.0;KPN017;PKP057;00:38:02;;https://search.corpuskiparla.it/corpus/conversations/KPN015.html;https://search.corpuskiparla.it/corpus/conversations/KPN015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;pasto;nessuno secondo me // eh beh // ehm a proposito della zecca eh domani fanno un pranzo a tema // quelli della zecca? // sì;praticamente;si sono messi d''accordo con lo shabu che è un mh è un ristorante orientale di carpi // mo veh // mh // mh // un orientale però;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
KPN015;#105748;doc#14;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=717860&end=721267;717860.0;721267.0;KPN017;PKP057;00:38:02;;https://search.corpuskiparla.it/corpus/conversations/KPN015.html;https://search.corpuskiparla.it/corpus/conversations/KPN015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;pasto;più buoni in zona in assoluto // ah sì? // sì // beh ci andiamo domani prenotiamo // quanto ci vuole? // eh aspetta e;praticamente;si son messi d''accordo allora // quelli dello shabu gli danno tot piatti che sono tipo // cinque o sei tra cui scegliere;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3002;#114444;doc#16;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=230335&end=235613;230335.0;235613.0;BOA3002;BO009;00:18:17;;https://search.corpuskiparla.it/corpus/conversations/BOA3002.html;https://search.corpuskiparla.it/corpus/conversations/BOA3002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;// i giovani di oggi sono violenti // violenti // una ragazza pure // no io l'' unica cosa mi sono levata è stato nel lì perché;praticamente;l'' abbiamo preso insieme in e dentro c'' è la data // altro che il femminismo // ah carino // e e // ogni volta che lui capisce;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3002;#115925;doc#16;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=577171&end=578570;577171.0;578570.0;BOA3002;BO009;00:18:17;;https://search.corpuskiparla.it/corpus/conversations/BOA3002.html;https://search.corpuskiparla.it/corpus/conversations/BOA3002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;da sol~ // ''sta marianna qua // faccio anche da poco purtroppo faccio cazzate quindi a questo punto // ''sta marianna qua;praticamente;// marianna // ha // ecco esatto // che bella marianna // // non si sente tanto // non so cantare // vabbè // comunque // let;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;
BOA3002;#116401;doc#16;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=715705&end=718725;715705.0;718725.0;BOA3002;BO009;00:18:17;;https://search.corpuskiparla.it/corpus/conversations/BOA3002.html;https://search.corpuskiparla.it/corpus/conversations/BOA3002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;questo ultimo tentativo // mh // i miei due mood // il cane che morde // c'' est moi // comunque dicevamo // e niente e quindi;praticamente;loro hanno hanno parlato // e e giovanni gli ha detto tutto perché giovanni la odia cioè perché dice che lei si comporta un;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA3017;#122432;doc#18;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=375717&end=377697;375717.0;377697.0;BOA3017;BO147;00:30:22;;https://search.corpuskiparla.it/corpus/conversations/BOA3017.html;https://search.corpuskiparla.it/corpus/conversations/BOA3017_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;4;conversazione libera;la cosa come si chiama? // sedia // la sedia // // // la sedia gi~ mh girevole quindi // eh no eh sì quella da studio // // e;praticamente;ha fatto // così gli ho detto x gli ho detto eh vincenzo diventerà papà // lei // // // io tipo // io // cioè // ma // // // eh ieri;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA1004;#142559;doc#21;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1004&begin=12156&end=15674;12156.0;15674.0;BOA1004;BO027;00:07:27;;https://search.corpuskiparla.it/corpus/conversations/BOA1004.html;https://search.corpuskiparla.it/corpus/conversations/BOA1004_jefferson.html;26-30;F;;stud;;;marche;laurea in corso;2;ricevimento studenti;mail e poi si era interrotta un po'' la comunicazione // per due saggi // x xx chi è lei? // rossi chiara // per dei saggi e;praticamente;io ho dato l'' esame di // rossi // mh mh // chiara // perfetto // e // ho dato l'' esame di didattica elle due in triennale // lei;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
BOA1004;#142611;doc#21;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1004&begin=32730&end=39256;32730.0;39256.0;BOA1004;BO027;00:07:27;;https://search.corpuskiparla.it/corpus/conversations/BOA1004.html;https://search.corpuskiparla.it/corpus/conversations/BOA1004_jefferson.html;26-30;F;;stud;;;marche;laurea in corso;2;ricevimento studenti;elle due in triennale // lei me l'' ha già fatto // mh mh // e praticamente // e quindi deve sostituire la prima parte // s~;praticamente;lei mi aveva detto che siccome il l'' esame con il programma di quest'' anno solamente due saggi si si ripetono // per il;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;1.0;
