Reference;Tok_ID;Doc_ID;Year;Topic;conv_transcription;conv_jefferson;Speaker_Age;età;Speaker_Gender;Place;Provenience;Relationship;Text_Type;Job;Education;N_Speakers;annotation.audio_file;Left;KWIC;Right;Non SD;presenta complementatore;sta per sapere, es. saper dire;;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
KPN026;#1520311;doc#198;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN026.html;https://search.corpuskiparla.it/corpus/conversations/KPN026_jefferson.html;21-25;21-30;F;FC;emilia-romagna;simmetrico;pasto;tec;laurea;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN026&begin=1821706&end=1823388;// ah adesso sì è che su di lei è diverso // // no ma io non li avevo mai visti sti cosi sti xx // comunque quando li han presi;mi sa;// i xx // // xx bene // mh seh non vanno bene a me // // da poco dobbiam fare un gioco bellissimo // cioè? // mezzo porco //;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;???;
KPN026;#1520987;doc#198;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN026.html;https://search.corpuskiparla.it/corpus/conversations/KPN026_jefferson.html;21-25;21-30;F;FC;emilia-romagna;simmetrico;pasto;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN026&begin=2000680&end=2002170;palese proprio // // madonna // anche lì // come quando giochi a lupus // lupus in fabula? // in fa~ // in fabula o in tabula?;mi sa;// in fabula // fabula // in fabula // quanto è lungo quel gioco // quando // quando mi facevano lupo // s~ te non sai proprio;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPN026;#1521584;doc#198;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN026.html;https://search.corpuskiparla.it/corpus/conversations/KPN026_jefferson.html;26-30;21-30;M;FC;campania;simmetrico;pasto;tec;laurea;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN026&begin=2181662&end=2184201;// sei arrivata lì che erano le undi~ n~ no // a che ora chiamavo? // no no alle dieci e mezza secondo me // mh // sì hai erano;mi sa;l''una passata // dio bo // e comunque a polignano // c''era sto ristorante che si chiama pescaria // buono? // dove fan del;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;
PBB024;#1523417;doc#199;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;41-50;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;uff;dip_tec_prof;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=536920&end=542822;// l''albero // mh // in questo preciso momento perché la casa è molto piccola e non saprei dove metterlo perché il presepe;mi sa;mh // se lo dovessi fare eh ehm // mi piacerebbe farlo // bello // grande eh completo non soltanto eh maria giuseppe;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPN002;#1553728;doc#202;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN002.html;https://search.corpuskiparla.it/corpus/conversations/KPN002_jefferson.html;21-25;21-30;M;VE;veneto;simmetrico;pasto;stud;laurea in corso;5;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN002&begin=1769180&end=1775370;// più che altro magari loro non hanno posti da sedere quindi dovrebbero la gente dovrebbe stare in piedi eh ma non puoi;mi sa;// quindi secondo è tipo mezzo in xx // ah ma comunque ma adesso non lo sai come fare cioè adesso che è per forza tutto online;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
KPN029;#1558958;doc#204;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;21-25;21-30;M;BO;basilicata;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=150068&end=153190;ci voglio andare // e e sembra anche buono cioè era strapieno // ma io vorrei fa~ ah a proposito marti io non ho il tuo numero;mi sa;// oppure ce l''ho non mi ricordo mi sembra di no // eh te lo lascio // perché per la laurea perché sto mi sto organizzando //;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPN029;#1563254;doc#204;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;26-30;21-30;F;BO;basilicata;simmetrico;pasto;intell;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=1285490&end=1286688;bianchi // si chiama // ah ho sentita ho sentita ho sen~ // che ha la farmacia // in centro a matera // ecco // cioé la sorella;mi sa;// sì sì ho capito chi è // forse l''ha avuta mio fratello la bianchi allora // ed~ e lei è bravissima // cioé tipo super;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPN009;#1571685;doc#206;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN009.html;https://search.corpuskiparla.it/corpus/conversations/KPN009_jefferson.html;21-25;21-30;M;BO;toscana;simmetrico;pasto;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN009&begin=658626&end=661114;schiattare // xx xx x martello e ci hanno fatto tanti bei video sopra // tommi te oggi devi studiare un po'' // mh no oggi;mi sa;dopo esco con l''eleonora // potevo riuscire se no // xxx? // sì è vero // xxxxxxx // una cosa assurda // per fortuna che non è;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;
KPN009;#1573845;doc#206;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN009.html;https://search.corpuskiparla.it/corpus/conversations/KPN009_jefferson.html;21-25;21-30;M;BO;toscana;simmetrico;pasto;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN009&begin=1436190&end=1437421;aprilo // dove si possono comprare? // questi al riso con cosa sono? tè verde e gli altri? // tè verde e // e tutti tè verde;mi sa;// al market in mascarella // mascarella? // vai // c''è il market cinese // apri dal mezzo x // ah allora vedi che non sono;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPN003;#1594053;doc#209;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN003.html;https://search.corpuskiparla.it/corpus/conversations/KPN003_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;pasto;tec;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN003&begin=1355840&end=1357215;che lavorava con due figli // mh // lì die~ dietro la cassa // second~ ha detto secondo me era lei // ma lei aveva una figlia;mi sa;// uno è il suo // no ora ne ha due // davvero? // quindi vuol dire che probabilmente cioè li voleva anche magari il primo;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
KPN003;#1594794;doc#209;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN003.html;https://search.corpuskiparla.it/corpus/conversations/KPN003_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;pasto;disocc;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN003&begin=1611953&end=1614008;// quindi lo vedevi e non sapevi più cosa fare // // che fine ha fatto? // mh dov''è che l''avevi visto? // ah sì l''avevo visto;mi sa;la settimana pri~ // non lo so // col cane mi sa eh io son passata in bici // però ho fatto finta di non vederlo // ma in che;;;;;1;;;;;;;;;;1;;;;;;;;;;1;;;;;;;
KPN003;#1594806;doc#209;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN003.html;https://search.corpuskiparla.it/corpus/conversations/KPN003_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;pasto;disocc;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN003&begin=1614841&end=1617351;// // che fine ha fatto? // mh dov''è che l''avevi visto? // ah sì l''avevo visto mi sa la settimana pri~ // non lo so // col cane;mi sa;eh io son passata in bici // però ho fatto finta di non vederlo // ma in che zona? // eh parco della zucca // cioè // ah si è vero;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
KPN003;#1595618;doc#209;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN003.html;https://search.corpuskiparla.it/corpus/conversations/KPN003_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;pasto;disocc;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN003&begin=1976579&end=1977539;scorso // che bello // il più bello è stato quando c''era la cosa la // la murga // mhmh // mh // quand''era? // ad halloween;mi sa;// no prima di halloween // davvero? // perché ad halloween era quella volta che sono andata via subito // che sei andata;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;
KPN003;#1595950;doc#209;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN003.html;https://search.corpuskiparla.it/corpus/conversations/KPN003_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;pasto;disocc;laurea;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN003&begin=2092497&end=2093941;è quasi halloween // // // mangi due spinaci prima di uscire // e sei pronta sei travestita // questo era peso // merda // ma;mi sa;tutti e tre // quello con la tartare era più leggero anche perché aveva un accompagnamento di insalata // ah // io qua ho;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
PBB010;#1614532;doc#211;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB010.html;https://search.corpuskiparla.it/corpus/conversations/PBB010_jefferson.html;31-35;31-40;F;BO;estero;asimmetrico;intervista semistrutturata;comm;med;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB010&begin=1039855&end=1042782;invece devi fare avanti indietro // sì // eh quello sì // entri alle undici devi fare la preparazione tutto // e poi;mi sa;giorni che son tutta pronta puntuale // già via // sì // alle tre e e mezza poi vai a casa // manco non hai tempo di lavarsi //;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
KPS021;#1666165;doc#221;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPS021.html;https://search.corpuskiparla.it/corpus/conversations/KPS021_jefferson.html;26-30;21-30;M;CE;campania;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=1038152&end=1040463;eh a me era abbastanza perché sono grasso e ne avevo messe comunque tante // xx // no non possiamo fare una dieta vegana noi;mi sa;// no io non ce la farei devo ammettere // vegetariano forse sì // ma vegano no // a me il formaggio piace assai // ma ma anche;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
TOA3014;#1703816;doc#227;2019;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3014.html;https://search.corpuskiparla.it/corpus/conversations/TOA3014_jefferson.html;21-25;21-30;F;TO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3014&begin=264380&end=265820;ho visto te ho visto francesca e ho iniziato a fa'' // la scema sì // la scema // anche questa xxxxx // mi piacciono le rosse;mi sa;// però naturali // sì è vero // no quel rosso // tipo da vecchia // sì no non quel rosso da vecchia però // però anche il rosso;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBB004;#1732831;doc#231;2021;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB004.html;https://search.corpuskiparla.it/corpus/conversations/PBB004_jefferson.html;56-60;51-60;M;BO;emilia-romagna;asimmetrico;intervista semistrutturata;oper;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB004&begin=1766926&end=1769830;che mi piacciono e dei film un po'' meno ma come genere no cioè // mi piacciono i film di fantascienza ma li ho già visti tutti;mi sa;// // tu gina guardi film // no // a me piace // te l''ho detto // telenovela // no no okay di sera no mi guardo ormai c''ho i miei;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA012;#1758137;doc#235;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA012.html;https://search.corpuskiparla.it/corpus/conversations/PBA012_jefferson.html;21-25;21-30;M;BO;lazio;asimmetrico;intervista semistrutturata;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA012&begin=162040&end=167250;// eh // e e l''unica mh cioè l''unico posto dove abbiamo potuto prendere le birre è stato tipo che era una pizzeria;mi sa;// e boh ma veramente non c''era nessuno c''erano tutti vecchi // cioè le uniche persone che si vedevano erano vecchi // e ne;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
PBA012;#1758275;doc#235;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA012.html;https://search.corpuskiparla.it/corpus/conversations/PBA012_jefferson.html;21-25;21-30;M;BO;lazio;asimmetrico;intervista semistrutturata;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA012&begin=201970&end=203540;suo appartamento cioè lui scende giù fa il giretto e poi ritorna su cioè // mh // ah okay // ce l''ho il video // io ho il video;mi sa;mo lo chiedo a anna // vabbè poi ce lo fai vedere // ma mi sa che l''ha tipo che l''avevate mandato // non so se su inst~ no su sul;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
PBA012;#1758309;doc#235;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA012.html;https://search.corpuskiparla.it/corpus/conversations/PBA012_jefferson.html;21-25;21-30;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;disocc;dip_lic;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA012&begin=207320&end=210430;a anna // vabbè poi ce lo fai vedere // ma mi sa che l''ha tipo che l''avevate mandato // non so se su inst~ no su sul gruppo;mi sa;// davvero // sì forse in quello del del mio compleanno // vediamo questo gatto // che cioè ma è tipo // così letteralmente;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA012;#1765328;doc#235;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA012.html;https://search.corpuskiparla.it/corpus/conversations/PBA012_jefferson.html;21-25;21-30;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;disocc;dip_lic;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA012&begin=2327740&end=2330400;di // di legamenti // non io // tipo l''ultima volta che è stata fatta una festa qui // che mi sono fermata pure a dormire;mi sa;c~ mi sa pure con robbi // che hai fatto la spaccata // esatto tipo ubriaca io prendo e faccio la spaccata così // // mado'' io;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBA012;#1765331;doc#235;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA012.html;https://search.corpuskiparla.it/corpus/conversations/PBA012_jefferson.html;21-25;21-30;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;disocc;dip_lic;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA012&begin=2327740&end=2330400;// di legamenti // non io // tipo l''ultima volta che è stata fatta una festa qui // che mi sono fermata pure a dormire mi sa c~;mi sa;pure con robbi // che hai fatto la spaccata // esatto tipo ubriaca io prendo e faccio la spaccata così // // mado'' io dove;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
TOA1001;#1783938;doc#238;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/TOA1001.html;https://search.corpuskiparla.it/corpus/conversations/TOA1001_jefferson.html;21-25;21-30;M;TO;piemonte;asimmetrico;ricevimento studenti;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1001&begin=260822&end=262306;// e si influenzavano a vicenda // xx // da alcune lingue su altre semplicemente penso? // sì // ho dimenticato un pezzo;mi sa;// sì // // su altre // quindi questo lo toglierei // eh // e poi magari aggiungerei cenni storici al titolo visto che eh //;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;
PBB028;#1927288;doc#259;2024;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;31-40;M;BO;emilia-romagna;asimmetrico;intervista semistrutturata;artig;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=2476935&end=2479919;o cinque alla mezzana // ma non si può andare? // vorrei andarci // adesso no // in cattedrale l''han~ l''han fatta da poco;mi sa;la scappata // sì però adesso f~ mh devi iscriverti mi sa // // sì perché è capitato che uno è venuto via un pezzo di ferro;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
PBB028;#1927300;doc#259;2024;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;31-40;M;BO;emilia-romagna;asimmetrico;intervista semistrutturata;artig;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=2480764&end=2484065;andarci // adesso no // in cattedrale l''han~ l''han fatta da poco mi sa la scappata // sì però adesso f~ mh devi iscriverti;mi sa;// // sì perché è capitato che uno è venuto via un pezzo di ferro dalla campana in cattedrale // è arrivata in faccia a un;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
PBB028;#1929042;doc#259;2024;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;31-40;M;BO;emilia-romagna;asimmetrico;intervista semistrutturata;artig;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=3056805&end=3060065;uno // per suonare a mezzogiorno nel campanile // tutti i giorni? // tutti i giorni // // c''era bianchella // era pagato;mi sa;tipo duecento euro all''anno // per andare a suonare a mezzogiorno // i giorni che lui non c''era o ci andava mio padre // o;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;
BOA3017;#1968773;doc#264;2019;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3017.html;https://search.corpuskiparla.it/corpus/conversations/BOA3017_jefferson.html;21-25;21-30;M;BO;marche;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=578937&end=580397;così // xxxx // non prendi l'' insalata? // sì sì // l'' ho mangiata tutta io // no la finisco // la mangia un po'' pure matteo;mi sa;// no // dai perché x ha ha // perché? // viene oscurato il nome non sapranno che mangio l'' insalata // // // // // non;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;
BOA3017;#1970259;doc#264;2019;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3017.html;https://search.corpuskiparla.it/corpus/conversations/BOA3017_jefferson.html;21-25;21-30;F;BO;emilia-romagna;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=1081649&end=1083169;// poi se piove pure // mh mh // solo che la programmazione è alle due fino alle cinque sei poi basta // no alle due esce fuori;mi sa;// no? // lei ha detto che c'' ha la programmazione alle quattro // no? // non lo so // che cerchi amore mio? // il pane di;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
PBA030;#1980625;doc#266;2024;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA030.html;https://search.corpuskiparla.it/corpus/conversations/PBA030_jefferson.html;21-25;21-30;M;BO;emilia-romagna;asimmetrico;intervista semistrutturata;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA030&begin=1739250&end=1741184;// okay // eh mh // la sede di anatomia che è vicino a fisica // mhmh // penso ehm sì // ah se è que~ ehm è quella prima;mi sa;vabbè // sì // // fisica eh mh // // ho fatto due lezioni // eh belmeloro le aule belmeloro comunque sono vicino ad anatomia;;;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;
BOA3001;#2004497;doc#270;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3001.html;https://search.corpuskiparla.it/corpus/conversations/BOA3001_jefferson.html;21-25;21-30;F;BO;toscana;simmetrico;conversazione libera;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3001&begin=1895577&end=1901873;da fare che boccaccio sec~ quello è bello // sì a me boccaccio non piace sarà che no ma me l'' hanno fatto odiare al liceo;mi sa;// non ti piace // perché al liceo ce lo fecero leggere tutto intero in seconda da soli senza neanche spiegarcelo // sì //;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;
BOA3001;#2006325;doc#270;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3001.html;https://search.corpuskiparla.it/corpus/conversations/BOA3001_jefferson.html;21-25;21-30;F;BO;toscana;simmetrico;conversazione libera;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3001&begin=2578691&end=2583108;bellissima // no comunque lui // ne sa poi ha fatto il cappellaio matto però anche lì // lui fa solo dei ruoli // sì // poi lui;mi sa;aveva fatto anche un film girato in italia // sì // sì // che io tra l'' altro ho visto anche due volte un mi ricordo come si xx;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;
KPS006;#2024372;doc#274;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPS006.html;https://search.corpuskiparla.it/corpus/conversations/KPS006_jefferson.html;21-25;21-30;F;MT;basilicata;simmetrico;pasto;stud;laurea in corso;5;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS006&begin=175516&end=176290;che non le hanno insegnato niente // comunque è grande lei // cioè lo fa consapevolmente // quanti anni ha? // come me;mi sa;// quanto lei eh // ah quindi // quindi avrà ventiquattr''anni venticinque // quanti ne avrà ? // più o meno quanto te // lo;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
PTA006;#2125591;doc#285;2019;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA006.html;https://search.corpuskiparla.it/corpus/conversations/PTA006_jefferson.html;26-30;21-30;F;TO;lombardia;asimmetrico;intervista semistrutturata;intell;phd;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA006&begin=3332503&end=3334054;// sì // paolo conte // era di torino torino? // no di asti // alba // o asti // asti // xx // asti forse // alba è il tuo amico //;mi sa;asti proprio // gianmaria // gianmaria testa // testa è morto // però per di~ // buonanima // // per dirti alla fine so~ //;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
TOA3010;#2139973;doc#288;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3010.html;https://search.corpuskiparla.it/corpus/conversations/TOA3010_jefferson.html;21-25;21-30;F;TO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3010&begin=1570620&end=1572411;andare però // ci sono andati i miei amici dell'' udu // infatti mi leggerà il resoconto vediamo un po'' come siamo messi //;mi sa;male comunque // mi sa che sono molto di destra // ma questa qui? // non ce la faccio son pienissima // la crosta è un po'';;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;
TOA3011;#2159645;doc#292;2019;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;21-30;F;TO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=841122&end=844032;io una volta l'' ho fatto mi avevan dato tipo quindici al giorno // anch'' io // non lo so // sì una roba così quindici al giorno;mi sa;// e alla fine sì // secondo me costa meno che // fare tutto sto bordello della vita // mi sa quindici al giorno aveva;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;
TOA3011;#2159666;doc#292;2019;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;21-30;F;TO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=847176&end=850206;una roba così quindici al giorno mi sa // e alla fine sì // secondo me costa meno che // fare tutto sto bordello della vita //;mi sa;quindici al giorno aveva chiesto // ma comunque non cambia un cazzo perché anche senza cane non esistono i mezzi di;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;
BOD2014;#2163438;doc#293;2017/18;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2014.html;https://search.corpuskiparla.it/corpus/conversations/BOD2014_jefferson.html;21-25;21-30;M;BO;emilia-romagna;simmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2014&begin=450060&end=455933;letto su facebook // eh su di lu~ no non c~ lodo non ha facebook però qualcuno gli aveva detto che aveva letto su facebook;mi sa;davi // che u~ aveva fatto tipo un post un po'' un inno all'' alcolismo // no non esattamente penso di aver capito cioè // cioè;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;
KPC007;#2186427;doc#296;2021;libero;https://search.corpuskiparla.it/corpus/conversations/KPC007.html;https://search.corpuskiparla.it/corpus/conversations/KPC007_jefferson.html;21-25;21-30;F;AN;marche;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC007&begin=1425841&end=1427872;è // xxxx // c''avrà trentacinque anni // eh penso insegni inglese al liceo nostro // sì // abita lì sì sì // no sto ale abita;mi sa;sopra // infatti mi xx // sopra il greco può esse sopra a mondo pizza più o meno // ah sopra da thomas // eh // eh sì sì // ah dove;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
KPC007;#2188850;doc#296;2021;libero;https://search.corpuskiparla.it/corpus/conversations/KPC007.html;https://search.corpuskiparla.it/corpus/conversations/KPC007_jefferson.html;21-25;21-30;F;AN;marche;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC007&begin=1996737&end=1999400;tanto xxxx // la barista al? // al noir e al mama // ehm al noir comunque que~ eh esatto // e quello chi era xx un f~ // no questo;mi sa;i fratelli non so è questa comunque // tutti fratelli // sarà un altro ponches // no volevo vede'' sotto // dai non l''hai;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;non udibile
PBA019;#2260365;doc#308;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;21-30;M;BO;lazio;asimmetrico;intervista semistrutturata;uff;dip_tec_prof;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=606837&end=609684;bolognese // io? // # stavo per sì stavo per dire vergara perché da noi si dice così però // verga~ // # qua dicono le sciure;mi sa;qua a bologna // ah oddio // // le sciu~ o no boh? // non mi ricordo // un po'' sessista questa battuta se posso dire // dai // //;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;
PBA019;#2263661;doc#308;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;21-30;M;BO;lazio;asimmetrico;intervista semistrutturata;uff;dip_tec_prof;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=1694391&end=1697241;sì sì sì // che cazzo di segreto è? // no ma quello è per // non è un segreto però // no no è che lo dicono così un''altro sai qual è;mi sa;il // // i seicentosessantasei portici per anda'' a san luca // uh fatti mai? // io sì // sì sì sì io ci abito vicino // ah eh //;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;
