Reference;Tok_ID;Doc_ID;Year;Topic;conv_transcription;conv_jefferson;Speaker_Age;età;Speaker_Gender;Place;Provenience;Relationship;Text_Type;Job;Education;N_Speakers;annotation.audio_file;Left;KWIC;Right;Non SD;presenta complementatore;sta per sapere, es. saper dire;;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
KPN024;#2323136;doc#317;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN024.html;https://search.corpuskiparla.it/corpus/conversations/KPN024_jefferson.html;21-25;;F;TV;veneto;simmetrico;pasto;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN024&begin=2801486&end=2803870;figli a casa ma cioè // ah // che nel male almeno sei controllato // s~ sì infatti // cioè // devi esserne grata e basta // io;mi sa;che vado dentro a pagare // mhmh // aspe'' // che perchè cioè tra un po'' son le sei // sì // così almeno noi abbiamo già // sì;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOA3012;#13030;doc#1;2019;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3012.html;https://search.corpuskiparla.it/corpus/conversations/TOA3012_jefferson.html;21-25;;F;TO;umbria;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=1039473&end=1041773;sono tipo quelli però diversi // cioè con una roba davanti e le fibbie // sei sicura? // no // quelli da scout? // ma questi;me sa;che li fanno solo xxx così // a me non me fanno impazzi'' // non mi importa // ma manco a me te la devi porta'' tu // // ma poi cosa;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC005;#467975;doc#59;2021;libero;https://search.corpuskiparla.it/corpus/conversations/KPC005.html;https://search.corpuskiparla.it/corpus/conversations/KPC005_jefferson.html;56-60;;F;AN;calabria;simmetrico;pasto;uff;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=1491717&end=1496895;c''è l''ospedale a rosora? // eh un focolaio alla casa di riposo // ah // eh lì hanno fatto qualche loro dice de no ma invece mh;me sa;ch~ hanno fatto una cavolata loro // che è entrata sta persona da fuori // e non gli hanno fatto fare la mh quarantena come;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC009;#794939;doc#101;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;;F;PG;umbria;simmetrico;pasto;artig;dip_tec_prof;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=259664&end=262860;// o comunque vabbè su un piatto che poi dopo ci metti il sugo o quel che te pare el pesto no ? // se // eh invece lei mh tipo;me sa;che scola la pasta // #ar~ l''ar~ l''armette sulla marmitta e ci butta tutto me dè // // non so el condimento la pancetta;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC009;#797776;doc#101;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;;F;PG;umbria;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=966972&end=969828;eh infatti io volevo prende ''l prosecco xxx de spritz // io gli ho detto prov~ cambia gli ho detto prendi undrink // invece;me sa;che è buono e non l''ho mai sentito // ma prendi la prossima volta che ci vai el pink pink spritz che è una cosa buonissima //;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC009;#798004;doc#101;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;;F;PG;umbria;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=1013363&end=1014989;me ispira // però invece io sempre spritz spritz spritz che poi // si chiama hugò ? // hugo // hugo // ugio ? // acca u gi o //;me sa;che manca la acca // acca u~ // l''è sentito ? // no // non lo so // quindi colla acca ? // eh in teoria si // si // okay // però;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC009;#800919;doc#101;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;;F;PG;umbria;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=1732626&end=1743100;un barrettino davanti lì accanto ? lì c''ero andata con la paola // un bar lì accanto // si si s''era andati a fa'' // io no // io;me sa;che avevo preso uno spritz la paola aveva preso un analcolico che me sembra che era tutto verde e non gli riusciva a berlo;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC009;#805522;doc#101;2022;libero;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;;F;PG;umbria;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=2901652&end=2904770;èvecchio // io non so se ci s''è mai stata // un po'' bionda // ci n''è tante me lè // che ne so // eh ma comunque ho capito // #eh;me sa;che non so se è la citta de xxx // mh se va alla grande // a te te l''aveva raccontato no tu c''eri // xxx // no chi è che c''era?;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPN015;#905264;doc#112;2020;libero;https://search.corpuskiparla.it/corpus/conversations/KPN015.html;https://search.corpuskiparla.it/corpus/conversations/KPN015_jefferson.html;21-25;;F;RE;emilia-romagna;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=1844010&end=1845710;il bicchiere vuoto dà questa // ma anche anche anche questo qua alla fine sotto in mezzo al misto di roba che senti // per;me sa;anche di biscotto // sai tipo l''odore dei cantucci? che ha quell''odore // sì sì // tipo ma~ quei quei gusti un po'' di di;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC011;#1457021;doc#189;2024;libero;https://search.corpuskiparla.it/corpus/conversations/KPC011.html;https://search.corpuskiparla.it/corpus/conversations/KPC011_jefferson.html;21-25;;F;AR;umbria;simmetrico;pasto;stud;laurea in corso;3;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC011&begin=1740278&end=1741839;mh // xx // mi sa che ci stanno un pezzo // sì penso de sì // urca // dice che c''è // no questa non te la dico nonna // // xxxx // che;me sa;che te fa un po'' schifo // no // no che c''hanno a rifà le fognature e no niente // mh // oh scherzi? // beccano qualche //;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
