Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PBC015;#2769630;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=494223&end=500071;494223;500071;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;ho imparato a bologna insomma // quindi diciamo è diventata molto più caotica forse un po'' meno accessibile magari per;immagino;// eh sì eh sì // sì eh anche se ripeto eh i i i suoi vantaggi di sempre li li li conserva eh perchè comunque // eh il portico;;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;1;;
PBC015;#2770041;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=650230&end=650801;650230;650801;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;de~ s~ con l''aggiunta dei tavolini quindi x // sì è che sono cambiati gli ostacoli certo eh sono diventati molto più //;immagino;// problematici da da allora adesso poi vabbè // eh negli ultimi anni c''è anche un altro fattore che è quello dei cantieri;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PBC015;#2770227;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=728060&end=730020;728060;730020;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;è // è dive~ poi adesso con sta storia del del covid quindi più spazi all''aperto per bar e ristoranti addio // io sì lo so;immagino;// è diventata ancora più complicata // eh però dai eh // ecco l''altra l''altra cosa brutta ma questo è dovuta purtroppo;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2770380;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=802020&end=805100;802020;805100;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;a eh un una concentrazione // molto più // forte // per riuscire a eh muoversi liberamente in in città insomma ecco // eh //;immagino;anche perchè io proprio ho visto anche ma~ macchine proprio parcheggiate // sì oh ma quelle // // oddio sarà che ci sono;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2770619;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=887015&end=887695;887015;887695;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// però // t''assicuro che se // se io trovo delle difficoltà a bologna nelle altre città c''è da impazzire eh // mamma // //;immagino;// eh io l~ la settimana scorsa sono stato tre giorni a roma // ma a a roma da solo // mh non ci penso nemmeno eh // cioè esco;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2771118;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=1081645&end=1082349;1081645;1082349;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;pare autonomamente // eh diventa molto meno // eh la posso aff~ me me ne posso affidare molto meno insomma ecco // eh // //;immagino;// tra l''altro // e quindi vabbè // x // comunque molto interessante anche perchè // io avendo la possibilità di vedere un;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2771164;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=1098110&end=1102920;1098110;1102920;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;io avendo la possibilità di vedere un pochino non mi rendo be~ bene conto di come sia la vita per // // e // x // tra l''altro sì;immagino;anche non so almeno io una cosa che ho notato se posso dire a bologna // sono i~ tutti st~ i portici che io mi chiedo co~ come;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2771200;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=1106490&end=1109918;1106490;1109918;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;cosa che ho notato se posso dire a bologna // sono i~ tutti st~ i portici che io mi chiedo co~ come si come fanno // cioè io mi;immagino;da bol~ da persona che vive a bologna dopo orientarsi anche fuori // l~ lo so mi vie~ io continuo mh nel senso mi mi stupisco;1;cioè io penso da persona che vive a Bologna (…);;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2771525;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=1222370&end=1223972;1222370;1223972;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;molto meno di come di come possa frequentare il centro storico nel quale vivo da cinquantadue anni ecco // ah è così eh ti;immagino;// eh tra l''altro sì e mi dispiace anche perchè vedo che vi stanno proprio // probabilmente vi stanno un po'' lasciando;1;ti ci penso;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2771554;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=1233028&end=1234400;1233028;1234400;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;e mi dispiace anche perchè vedo che vi stanno proprio // probabilmente vi stanno un po'' lasciando andare e quindi // eh mi;immagino;// sì perchè poi purtroppo ogni tanto ci cambiano tutte le le i punti di riferimento eh eh vabbè // eh // bisogna // appunto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
