Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PTB001;#2403744;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=1538513&end=1542033;1538513;1542033;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;tutti e due allora mentre mio padre stava per venire su lui aveva trovato una stanza lì che // c''erano i topi // // però;comunque;era non eri eh succube di nessuno eh // e da lì poi si è cominciata la vita nostra di emigrati // chiaro // ehm // sì no noi //;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;
PTB001;#2405775;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=2066398&end=2068268;2066398;2068268;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;beh a torino si // eh // al di là del lavoro chi lavorava // o chi studiava // nel tempo libero diciamo // eh nel tempo libero;comunque;c''erano // le discoteche c''erano le sale da ballo // c''erano // c''erano molti gruppi di amici // mh // di amici dove si;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTB001;#2408578;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=2797564&end=2799804;2797564;2799804;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;3;intervista semistrutturata;sì su // f~ mh di tutto abbigliamento gos~ mercerie c''erano tutti i negozi bar // sono spariti tutti // quindi ha perso;comunque;qualcosa xxx // certo ha perso tutto // perché secondo voi eh? // ma perché non and~ andando via la la xxx bertinetti;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTB001;#2413101;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=3970759&end=3972269;3970759;3972269;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;siamo anche in grado di compra~ ma a volte dive~ diventa difficile anche solo trovare il volontario // ma anche perché;comunque;ci sono // eh le leggi ci sono // le autorizzazioni permessi le paure // e tu dici mah quello lì viene qua cosa fa? non fa;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;
PBB028;#2422141;doc#343;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=571853&end=579270;571853;579270;PBB028;;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;F;;intell;;;emilia-romagna;phd;3;intervista semistrutturata;di là c''è ferrara // perché pieve è sotto bologna // xx è dalla parte buona del reno // è dalla parte buona // quindi voi;comunque;non non siete come tipo gli imolesi che sono in provincia di bologna per caso ma in realtà sono romagnoli no? // invece voi;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;
PBB028;#2428591;doc#343;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=2605195&end=2606598;2605195;2606598;PBB028;;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;F;;intell;;;emilia-romagna;phd;3;intervista semistrutturata;me dei campanari x lasciarono la luce accesa solo che xx se ne sono accorti e quindi l''han chiusa // assurdo // che figata;comunque;// perché in san petronio sotto alla cella c''è la sala in teoria // dove facevamo le riunioni // con proprio le sedie il;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;
KPN029;#2442740;doc#346;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=654125&end=655752;654125;655752;KPN029;;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;26-30;F;;intell;;;basilicata;laurea;3;pasto;sono buonissime // no no no sono delle sono da frigo // mh // secondo me sono tipo // non so se son precotte non lo so // perché;comunque;ci mettono solo dieci minuti // cioé non è xx // sono leggermente piccanti // però ti giuro // cioé sono // la fine del mondo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPN029;#2442940;doc#346;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=708523&end=710407;708523;710407;KPN029;;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;26-30;F;;intell;;;basilicata;laurea;3;pasto;le alette di pollo // no // perché? // non mi piacciono // che significa non ti piacciono le alette // infatti // cioé tu //;comunque;dev~ devo riconvertire perché // cioé // qual è la differenza tra le alette tipo e il petto di pollo // o la coscia // e;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
KPN029;#2447444;doc#346;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=1865472&end=1866459;1865472;1866459;KPN029;;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;21-25;M;;stud;;;basilicata;laurea in corso;3;pasto;però poi bellissimo // cioè una volta uscita saltellavo tipo // cioé è stato bellissimo // bellissimo // morto // vabbé;comunque;// mi sa che possiamo concludere qua // la registrazione // sì dai trentuno minuti // bene allora eh non siete tutti e due;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;
PBB015;#2447735;doc#347;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB015&begin=85930&end=91556;85930;91556;PBB015;;00:22:45;;https://search.corpuskiparla.it/corpus/conversations/PBB015.html;https://search.corpuskiparla.it/corpus/conversations/PBB015_jefferson.html;41-45;M;;oper;;;campania;dip_tec_prof;3;intervista semistrutturata;spese se non ha delle spalle forte per poter ricoprire alcune spese // sicuramente però una volta riuscito a cominciare;comunque;riesci a trovare la tua dimensione // e riesci a fare tante cose // è molto funzionale pulita precisa // pretenziosa // sì;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
