Reference;Token number;Document number;Anno di raccolta;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;annotation.audio_file;Left;KWIC;Right;Non SD;Test dell'omissione;Test della reggenza sintattica;Test prosodico;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
BOD2019;#1813121;doc#255;;1740778;1745493;BO119;BOD2019;;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;F;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1740778&end=1745493;a bologna in realtà // non c'' ho idea // rimango a bologna ma non ho idea di come di come continuerò gli studi // allora;diciamo;se in un futuro chissà quanto lontano forse non troppo // dovessi immaginare una casa tua che è tua dove // te sistemi dove; ;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;;
TOA3004;#1826779;doc#258;;831848;834790;TO039;TOA3004;;;https://search.corpuskiparla.it/corpus/conversations/TOA3004.html;https://search.corpuskiparla.it/corpus/conversations/TOA3004_jefferson.html;21-25;M;;stud;;;piemonte;laurea in corso;4;conversazione libera;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3004&begin=831848&end=834790;// mangia solo la mo~ ma marci non mangia niente // ma tipo ricotta zero? // nelle torte salate // marci dei // allora;diciamo;una cosa crudo niente // // cioè crudo solo mozza // in cucina ricotta va bene tipo negli agnolotti nelle torte sala te;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1006;#1842870;doc#261;;160503;166864;BO092;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=160503&end=166864;un passo indietro perché si parla di approcci plurali? // perché si utilizza questa // questo termine // e qual è;diciamo;la filosofia in parte che accomuna tutte queste metodologie che hai menzionato? // beh diciamo che ehm gli approcci; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
BOC1006;#1843393;doc#261;;341604;345000;BO143;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=341604&end=345000;di quelle che sono le eh le analogie fra le lngue romanze // naturalmente anche con molte generalizzazioni // infatti;diciamo;che è un metodo che mi lascia un po'' come dire // mh non so sono un un po'' perplessa sì non so effetttivamente quanto possa;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1006;#1843446;doc#261;;353816;355040;BO143;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=353816&end=355040;molto interessante perché è un approccio che non avevo mai // perplessa? // ah ah // ma quando abbiamo // considerato;diciamo;// conosxx ma quando abbiamo fatto la sperimentazione in classe c'' eri? // eri presente? // eh // oddio // quando abbamo; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
BOC1006;#1843602;doc#261;;397480;401410;BO143;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=397480&end=401410;si possono anche ascoltare i testi // eh letti appunto da un parlante nativo // eh molto generale senza focalizzarsi;diciamo;sugli elementi linguistici // e poi si fa un primo tentativo di traduzione // naturalmente il diritto all''; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
BOC1006;#1843630;doc#261;;404870;411380;BO143;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=404870&end=411380;di traduzione // naturalmente il diritto all'' approssimazione è più che legittimo nel senso che naturalmente;diciamo;che mh mh // diciamo che uno dei degli approcci su cui si basa eurom è che appunto bisogna accettare // che non è necessario;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1006;#1844184;doc#261;;574240;580524;BO143;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;;F;;stud;;;;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=574240&end=580524;unità capitalizzabili e tui sui threshold level che appunto livello soglia che sarebbe appunto livello // di mh minimo;diciamo;a livello linguistico eh grazie a cui un apprendente può sopravvivere in un paese straniero // e instaurare e mantenere; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
BOC1006;#1844398;doc#261;;633176;637150;BO092;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=633176&end=637150;comunque il ritmo dell'' eloquio la velocità // mh // le false partenze // qual è qual è il rapporto tra // eh il quadro;diciamo;i descrittori del quadro europeo di riferimento // e gli studi nella linguistica acquisizionale? // e // è una domanda; ;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
BOC1006;#1844629;doc#261;;708340;714590;BO092;BOC1006;;;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;61-65;M;;intell;;;emilia-romagna;phd;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=708340&end=714590;vi prendono parte // le esigenze i bisogni e insomma tutta una serie insomma di fattori da tenere in conto // mh // quindi;diciamo;che questi descrittori tendono comunque a dare un'' idea generale un quadro sulla progressione // sì // probabilmente è;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
