Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1: Regge qualcosa come una subordinata o un obliquo?;Test 2: Ha un soggetto?;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;;
PBC010;#68112;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=2616900&end=2622290;2616900;2622290;PBC010;;00:45:06;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;61-65;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;nel senso che purtroppo la scuola italiana lavora // eh non sui divergentima sui co~ eh // mhmhmh // s~ su~ lavora su chi;va bene;in tutte le materie e non chi magari eccelle in una o due // mh // mh // sì si torna al discorso di prima su sistema in generale;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"ha un soggetto, non è SD ""chi va bene in utte le materie""";;
PTA016;#70793;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=270600&end=271610;270600;271610;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;a barcellona // sono stato in alcune isolette spagnole // okay // mi è sem~ xxx mi è piaciuta tantissimo mi piace // okay;va bene;// ma secondo te nel tuo campo o comunque in generale all''estero c''è più lavoro? // ma questo non non lo so dire con con;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;;;
PTA016;#71724;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=564970&end=565610;564970;565610;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;per restare in forma non è una fissazione // mhmh // pereh è giusto proprio per restare in forma niente di // okay // okay //;va bene;// e oltre al calcio? // che mi dicevi hai fatto altri sport prima // quando eri più piccolo // quando ero più piccolo ho;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;0;;;;
PTA016;#71797;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=589780&end=590240;589780;590240;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;guardi anche le partite // di calcio sì sì assolutamente // okay // assolutamente tifoso fedele del milan // di cosa // //;va bene;// va bene // argomento possiamo tralasciare // // va bene // volevo chiederti invece // ehm quando esci? // sì // che;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;cambio topic e cumulo;;
PTA016;#71800;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=590270&end=590840;590270;590840;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;le partite // di calcio sì sì assolutamente // okay // assolutamente tifoso fedele del milan // di cosa // // va bene //;va bene;// argomento possiamo tralasciare // // va bene // volevo chiederti invece // ehm quando esci? // sì // che posti xx dove;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;
PTA016;#71808;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=593450&end=594260;593450;594260;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;okay // assolutamente tifoso fedele del milan // di cosa // // va bene // va bene // argomento possiamo tralasciare // //;va bene;// volevo chiederti invece // ehm quando esci? // sì // che posti xx dove vai di so~ cioè dove ti piace uscire // eh quando;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;
PTA016;#73057;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=952015&end=952670;952015;952670;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;torino so che è molto conosciuto anche // okay // quindi il suo nome è abbastanza importante // quindi sono fiero di lui //;va bene;// ma // einvece cioè mi dicevi appunto che ora hai // x mh come lavoro non puoi più perché // hai già il carrozziere // sì;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;
PTA016;#74119;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1257112&end=1257690;1257112;1257690;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;ex fidanzata // e quindi // // però ho conosciuto un sacco di ragazze spagnole nonostante ciò // // e mi sono divertito //;va bene;// non abbastanz~ cioè x // // tantissimo eh // però sotto un certo punto di vista non abbastanza mettiamola così // vabbè;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;0;;;;
PTA016;#74182;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1275825&end=1276630;1275825;1276630;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;costosa quello lo devo ammettere quindi // però tu lavori // sì però diciamo che proprio andarli a spendere tutti in // //;va bene;// preferirei anche tenermeli un po'' // giusto // sì sì sì // ehm che ridere // ti volevo chiedere una cosa inveceehm //;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;
PTA016;#76859;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=2025965&end=2027640;2025965;2027640;PTA016;;00:40:23;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;ma non lo ascolto ecco mettiamola così // ni // okay // è il mio cantante preferito // okay perfetto // per quello l''avevo;va bene;// non lo ascolto // va bene ehm // allora quindi mi hai detto che sei tifoso del? // milan // perché hai scelto questa;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;
