Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
BOA1010;#1402356;doc#183;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1010&begin=64005&end=65110;64005;65110;BO026;BOA1010;00:21:26;libero;https://search.corpuskiparla.it/corpus/conversations/BOA1010.html;https://search.corpuskiparla.it/corpus/conversations/BOA1010_jefferson.html;56-60;F;BO;3;intell;no;asimmetrico;basilicata;ricevimento studenti;phd;// anche lei? // sì sì per~ cioè io sono venuta anche a ricevimento con lei sì sì permh // al colloquio con me sì // ehmh // eh;dunque;// avete trovato discipline abbastanza vicine no che non ci siano // sì abbastanza // sì // delle curiose scelte // no //;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD1001;#1420928;doc#184;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1001&begin=5488278&end=5489258;5488278;5489258;BO013;BOD1001;01:36:24;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1001.html;https://search.corpuskiparla.it/corpus/conversations/BOD1001_jefferson.html;51-55;M;BO;2;intell;no;asimmetrico;emilia-romagna;lezione;phd;e violentato e privato appunto di tutto quello che dovrebbe avere un bambino // ci fermiamo qua // per oggi ehm //;dunque;lunedì // è l'' ultima lezione direi almeno dai miei conti dovrebbe essere l'' ultima lezione // eh rimangono // in ballo;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
BOA1002;#1421810;doc#185;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1002&begin=57946&end=61276;57946;61276;BO026;BOA1002;00:08:34;libero;https://search.corpuskiparla.it/corpus/conversations/BOA1002.html;https://search.corpuskiparla.it/corpus/conversations/BOA1002_jefferson.html;56-60;F;BO;6;intell;no;asimmetrico;basilicata;ricevimento studenti;phd;// mh // noi // lei ha un problema // io io ho un problema perché dovrei subire un'' operazione al ginocchio e dovevo in~ // e;dunque;il il secondo appello sarebbe // è il dieci luglio // dieci luglio // lo scritto // noi avremmo bisogno di sapere // esatto;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#1527355;doc#199;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1906400&end=1908151;1906400;1908151;BOR030;PBB024;00:37:15;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;le sere eravamo lì al falchi a parlare chiacchierare facevamo facevamo anche serate così // d''accordo // e passerei;dunque;alla musica // quindi se mi puoi dire che genere ascolti // pronti // // musica prettamente italiana // eh l~ diciamo in;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC011;#1543146;doc#201;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC011&begin=3047806&end=3048688;3047806;3048688;BOI032;PBC011;01:16:04;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC011.html;https://search.corpuskiparla.it/corpus/conversations/PBC011_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;no perché // ho vissuto quello insomma perché poi in casa subito dopo la guerra poi sai che cos''è // il fatto di vivere // eh;dunque;// come posso dire // di vivere così in campagna e non eh mh in un borgo di campagna no? dove // in un borgo // ad esempio nel;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC007;#1579242;doc#207;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC007&begin=1385880&end=1390400;1385880;1390400;BOI019;PBC007;01:02:55;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC007.html;https://search.corpuskiparla.it/corpus/conversations/PBC007_jefferson.html;over 85;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;quel nome proprio con le loro mani // il concorso della poesia // ho fatto una poesia // da da incidere sul monumento //;dunque;la poi è stata dedicata una parte della biblioteca // alla a una partigiana che ha voluto questo monumento // comunque;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTD013;#1639745;doc#216;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD013&begin=87742&end=96610;87742;96610;TOI111;PTD013;00:20:25;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD013.html;https://search.corpuskiparla.it/corpus/conversations/PTD013_jefferson.html;56-60;F;TO;2;intell;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;prima // e quelle che erano già qui sono anche cambiate // ehm quali sono i luoghi di ritrovo più frequentati? // mah //;dunque;d''estate la gente si ritrova un po'' di più anche nelle vie del paese nelle piazze del paese perché il comune organizza;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;
PTD013;#1640024;doc#216;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD013&begin=213558&end=223351;213558;223351;TOI111;PTD013;00:20:25;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD013.html;https://search.corpuskiparla.it/corpus/conversations/PTD013_jefferson.html;56-60;F;TO;2;intell;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;// cioè nel senso se ti piace di più oggi vuol dire che son cambiate delle cose che l''hanno reso migliore // no ma // allora;dunque;il mio paese di oggi mi piace non per il clima non~ per l''aspetto architettonico ma mi piace perché conosco le persone //;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;
PTD013;#1641834;doc#216;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD013&begin=964136&end=967625;964136;967625;TOI111;PTD013;00:20:25;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD013.html;https://search.corpuskiparla.it/corpus/conversations/PTD013_jefferson.html;56-60;F;TO;2;intell;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;ma poi ho tanti racconti sui bambini sui colleghi tantissimi // okay // ehm // cosa fai durante il tempo libero? // mh //;dunque;io sono un po'' pigra // e quindi io amo stare a casa io a casa sto tranquilla // eh posso alla fine ho poco tempo libero perché;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;
BOC1002;#1693059;doc#223;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1002&begin=136607&end=140277;136607;140277;BO087;BOC1002;00:28:44;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1002.html;https://search.corpuskiparla.it/corpus/conversations/BOC1002_jefferson.html;41-45;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;e quelle delle traduzioni di opere letterarie a cura dim~ di masci maria rita e federico masini // quindi è secondaria //;dunque;un conto è dire che nel compilare una bibliografia // dice nella compilazione sono state consultate // un conto è dire;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
