Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Introduzione di topic/passaggio a un nuovo topic/ripresa di un topic allora, quindi, dopo di che ecc.;Chiusura di un topic;Riformulazione;Digressione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Intensificazione;Polifunzionalità
PBC016;#844553;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=488180&end=494620;488180;494620;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;// eh sì // quindi in una città mult~ multic~ cioè chiaramente multiculturale // xxxx questo? // decisamente;direi;anche tra l''altro adesso con l''università immagino ci sono molti giovani immagino che arrivano quindi // sì // questo;;;;;1;;;;;;;;;;;;;;;;;;1;0
PBC016;#844869;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=624683&end=628683;624683;628683;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;è chiaro che la gente che frequento che frequento io non so~ non sono proprio i giovincelli // ah beh giustamente // di~;direi;di no cioè nel senso è normale nel senso che ognuno // già // xxx // quindi comunque // stavo pensando qui al circolo;;;;;1;;;;;;;;;;;;;;;;;1;;0
PBC016;#848439;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1968160&end=1971690;1968160;1971690;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;chiesa e ci sono cinquanta turisti che strillano xx // sarà un po'' difficile che senti l''aspetto spirituale // sì di~ di~;direi;di no effettivamente // xxx cioè mi chiedevo anche cioè // come venisse resa cioè se // cioè diciamo la visita se p~ // cioè;;;;;1;;;;;;;;;;;;;;;;;1;;0
PBC016;#849221;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2276930&end=2279750;2276930;2279750;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;e questo secondo me // eh negli ultimi eh // quindici vent''anni // la manutenzione è scaduta // accidenti // e;direi;che sia anche fondamentale soprattutto per // cioè per noi che non non ve~ magari non ci accorgiamodi buche di // eh sì //;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC016;#849720;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2469230&end=2470960;2469230;2470960;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;insomma // ah sì sì non so pensavo // a gen~ a persone con problemi di vista perché io stessa però si effettivamente //;direi;che per tutti sia un po'' // un altro aspetto da migliorare // tra l''altro xxxx // sì il fatto che noi dobbiam capire è che non;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC016;#850218;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2662021&end=2662820;2662021;2662820;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;si // quindi non so cioè soprattutto quindi // su su questo diciamo cose per rendere più facile la vita // sì // nostra;direi;// si i semafori sonori sono imporanti // sarebbe importante anche che ci fossero // delle segnalazioni in;1;;;;;;;;;;;;;;;;;;;;;1;;0
PBC016;#850516;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2903880&end=2907062;2903880;2907062;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;// non non li sto trovando // hai trovato? // xxxx // xxxxxxx // perfetta eh? // è ancora lunga fabrizia? // ah se se vuole io;direi;che più o meno direi che ho fato le domande // bene o male // ah // che mi ero segnata volendo quindi non so se nel caso;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC016;#850521;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2903880&end=2907062;2903880;2907062;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;// hai trovato? // xxxx // xxxxxxx // perfetta eh? // è ancora lunga fabrizia? // ah se se vuole io direi che più o meno;direi;che ho fato le domande // bene o male // ah // che mi ero segnata volendo quindi non so se nel caso disposto a mandare;1;;;;;;;;;;;;;;;;;;;;;;;0
PBB019;#861535;doc#127;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB019&begin=1821170&end=1822674;1821170;1822674;BOR009;PBB019;00:30:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB019.html;https://search.corpuskiparla.it/corpus/conversations/PBB019_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;piemonte;intervista semistrutturata;laurea in corso;di dove // // senti mi sa che io ormai devo andare // sì no infatti io non voglio // tu hai abbastanza materiale? // ma sì;direi;che // adesso vediamo ma // beh mezzoretta siamo riusciti a farla a me basta anche quello sì // ti basta? // sì sì // aspetta;1;;;;;;;;;;;;;;;;;;;;;;;0
PBA021;#861882;doc#128;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=101556&end=105020;101556;105020;BOI090;PBA021;00:45:31;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;usi? // allora abbiamo il treno // che è comodissimo perchè è nel mio comune // ci sono gli autobus passano sempre // però;direi;che il mezzo di mh il mezzo più comodo è il treno // sì // e guidi? // io mi muovo // anche? // sì anche guido ho la macchina // ed;1;;;;;;;;;;;;;;;;;;;;;;;0
