corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOD1005	238-0	238-0|238-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1025617&end=1026286	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	// è calvo // va bene? // supponete che con erre di ics indico // erre re di francia e con ci di ics indico che ics è calvo //	va bene?	// ecco l'' articolo determinativo il // che vuol dire che // esiste un re di francia ed è uno // quindi io devo esprimere //
KIP	BOD1005	246-0	246-0|246-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1053740&end=1054150	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	direte che ci sono un momento ci sono modi alternativi // vari modi per esprimere le cosiddette descrizioni definite //	va bene?	// perchè quando io dico il re di francia è chiaro che questo è // un modo // compresso // va bene? // per indicare un
KIP	BOD1005	250-0	250-0|250-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1062743&end=1063388	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	descrizioni definite // va bene? // perchè quando io dico il re di francia è chiaro che questo è // un modo // compresso //	va bene?	// per indicare un individuo // quindi un individuo lo posso indicare sia col proprio nome no? // che è quello che
KIP	BOD1005	258-0	258-0|258-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1096530&end=1101060	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	_	Esemplificazione	_	nella fila di mezzo a sinistra vabbè insomma fa lo specifico bene // in modo tale che la mia descrizione isoli solo lui //	va bene	lo studente in prima fila con la giacca blu l'' ho trovato ecco // quindi // lo studente in prima fila con la giacca blu è una
KIP	BOD1005	261-0	261-0|261-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1108840&end=1109444	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	ecco // quindi // lo studente in prima fila con la giacca blu è una descrizione xx è uno modo per indicare un individuo //	va bene?	// lo studente in prima fila con la giacca blu eh ha fatto tutti gli esercizi // d'' accordo ecco allora un modo per
KIP	BOD1005	307-0	307-0|307-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1269397&end=1271520	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	linguistica più compelssa // eh descrizione linguistica complessa che io perdo completamente // in quest'' analisi //	va bene?	perdo completamente // però che vantaggio ha quest'' analisi qui // che // si esegue in un linguaggio di cui xx identità //
KIP	BOD1005	321-0	321-0|321-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1318749&end=1319680	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	_	Filler	_	// i~ aggiungere altri operatori ad esempio operatore iota // ho ics e due ics // che è // quell'' ics che voglio xx //	va bene	è il // sì eh // quell'' ics che gode di erre // allora in questo se io avessi un modo // se il mio linguaggio contenesse questo
KIP	BOD1005	329-0	329-0|329-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1338100&end=1338628	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	avessi un modo // se il mio linguaggio contenesse questo operatore // il re di francia è calvo potrei dire // ci // xxxxx //	va bene?	// chi è che è calvo? // quello che è il re // però ho bisogno di ampliare il linguaggio si può fare eh è un'' altra strada come
KIP	BOD1005	347-0	347-0|347-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1416956&end=1417534	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	genere // il cubo a // destra di bi // è grande // no? allora anche qui avete bisogno di esprimere // il cubo a destra di bi //	va bene?	// allora di nuovo perché verrà fuori esiste un ics // che è cubo // eh right // of ics bi // eh attenzione // quindi c'' è un
KIP	BOD1005	360-0	360-0|360-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1465356&end=1467437	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	e dovete ripetere right of // zeta bi // e preso qualsiasi ics zeta che sia cubo a destra di bi // allora ics uguale a zeta //	va bene?	in questo modo avete detto che // attenzione alle parentesi eh questa apre qui e ancora deve chiudere // quindi c'' è un ics
