corpus	conv_id	token_id	token_span	audio	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBA016	930-13	930-13	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=1495857&end=1499354	yes	_	Chiusura del topic	_	collaudati da da molti anni // xx ti ti chiamano per nome // no cioè // eh sì non c''è mai stato nient''altro in realtà prima	praticamente	// no pratello oppure dei dei bar dei pub in giro cioè // però questo è // tu ieri cos''hai fatto? // ieri // non mi ricordo //
ParlaBO	PBA016	1196-18	1196-18	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=1874854&end=1879473	yes	_	_	Specificazione	stavamo parlando del~ la piva in genera~ // #della piva sì io non so chi sia questa ragazza non non c''ho neanche mai	praticamente	parlato anzi // no no non è vero invece adesso vado a casa e stanno preparando loro due i ravioli cinesi fatti in casa
KIP	BOD2011	29-16	29-16	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=53880&end=58860	yes	Cessione del turno	Chiusura del topic	_	// beh che io ricordi dalle elementari // okay // eh cioè cioè sì quelli che che ricordo io di eh sono alle elementari	praticamente	// okay quindi hai sempre avuto questa passione per il // s~ sì sì più o meno sì // mh // sì è sempre stata una cosa che mi ha
ParlaBO	PBC009	963-8	963-8	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC009&begin=4435390&end=4441170	yes	_	Prolettico	_	anni cinquantasei cinquantasette comincio a ricordarmi bene // e // ed eravamo circondati da tedeschi no? che avevano	praticamente	invaso la riviera romagnola // mh // un una invasione del tutto pacifica // // // famiglie intere che al contrario di di
KIP	TOA3014	39-1	39-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3014&begin=54765&end=56076	yes	_	Introduzione o ripresa del topic	_	ma scusa ma tanto // no hai ragione // cioè ma che cazzo fai // hai ragione // io adesso // io non ho capito un cazzo // allora	praticamente	pri~ // proprio il giorno prima che // mi metto in mezzo per favore // il giorno prima che io arrivassi ma anche ''na
KIP	TOA3014	158-1	158-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3014&begin=303780&end=307764	yes	_	Prolettico	_	// no dopo ti faccio firmare // noi ormai siamo schedate // devi mettere nome cognome scrivere istituto // esatto // voi	praticamente	posso anche mettervi i microfoni nascosti xxx // esatto // mi stai profanando? // non ti profano tesoro no // ma quand'' è
KIP	TOA3014	393-3	393-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3014&begin=742519&end=745040	yes	_	_	Approssimazione	cazzo fa'' leo xxx ''n sapevo manco che cosa fosse // per ritrovalla ''n ora // ma do'' sta? che zona sta? // sta ''n barriera	praticamente	dopo il cimitero // manituana? // xxx verso di là // no sta di fronte al cimitero // eh di qua // sì è barriera vicino a corso
ParlaBO	PBC011	105-21	105-21	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC011&begin=306151&end=315710	yes	_	Prolettico	_	// s~ seh~ ehm mh specialmente da quando qualche anno fa sono venuta ad abitare di qua dalla ferrovia ho scoperto che	praticamente	da casa mia al centro sono tre chilometri // mhmh // sì // che li faccio a piedi adesso // ah perfetto // adesso che ho temp~
ParlaBO	PBC011	185-9	185-9	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC011&begin=551558&end=559641	yes	_	Prolettico	_	// poi in qualche modo è un po'' degenerata era la la festa delle matricole // c''erano quei giorni in cui le matricole erano	praticamente	padrone della città per cui coi loro cappelli colorati manti ehm // // fino mh mi ricordo che facevano vestivano il
ParlaBO	PBC011	519-6	519-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC011&begin=1595306&end=1602467	yes	_	Filler	_	cui andavamo // nel veneto perché diceva~ ah c''è un fiume m // in mezzo a niente no? per cui // // e e andavano via le famiglie	praticamente	per cui finito gli uomini cominciavano per cui si partiva l''alba per tornare la sera tardi // eh per cui e m // appena loro
ParlaBO	PBC011	1129-5	1129-5	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC011&begin=3480904&end=3488000	yes	_	Prolettico	_	lei non è che lei mangasse tanto no? per cui // sì // eh e niente che era stato grazie a questo // a questo medico tedesco che	praticamente	ce l''avevo fatta dice perché io sarei stata a casa ancora e dopo probabilmente non sarebbe // per cui // anche il bene che
