corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBC008	127-0	127-0	BOI021	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC008&begin=339360&end=346940	semistructured-interview	00:58:59	3	asymmetric	yes	fixed	2022	BO	0-Retired	F	emilia-romagna	71-75	yes	_	Riformulazione	_	sua casa di allora // a la mia casa di allora è la stessa casa di adesso a un piano diverso // ah // nel senso che // mhmh // eh //	dunque	quando io sono arrivata qua avevo tredic''anni e ero già proiettata avevo le amicizie fuori dal quartiere insomma // mh
ParlaBO	PBC008	704-0	704-0	BOI021	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC008&begin=1700942&end=1701450	semistructured-interview	00:58:59	3	asymmetric	yes	fixed	2022	BO	0-Retired	F	emilia-romagna	71-75	yes	_	Riformulazione	_	noi faremo un un incontro su mh // primo levi viene una // vabbè // eh sì // eh noi poi abbiamo un rapporto particolare //	dunque	no // questa è // una delle cose // che intenzionalmente facciamo tutti gli anni è // questi due anni no // è un''iniziativa
KIP	TOA3008	595-4	595-4	TO050	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3008&begin=2378131&end=2388234	free-conversation	01:31:46	4	symmetric	no	free	2018	TO	0-Students	M	campania	21-25	no	_	_	_	me xx dei complimenti vivi perché secondo me loro // se ne sbattono le palle perché sono vecchi // più grandi adulti e	dunque	sono talmente abituati a queste conferenze che non hanno nemmeno pen~ non pensano nemmeno che tu tu che sei all'' inizio
ParlaBO	PBC012	210-5	210-5	BOI034	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC012&begin=439896&end=445582	semistructured-interview	00:48:29	3	asymmetric	yes	fixed	2022	BO	0-Retired	M	emilia-romagna	over 85	yes	_	Filler	_	quanti anni avevi quando ti sei trasferito qui // quan~ // qui a bologna // a bologna proprio a bolo~ // no qua e guarda	dunque	su su e da~ dal quaran~ // mhmh // quara~ qua~ quaranta quaranta // dopo la guerra // nel quaranta? // quaranta x // dopo la
KIP	BOC1006	8-0	8-0	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=18740&end=22860	exam	00:23:00	2	asymmetric	yes	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	_	Introduzione o ripresa del topic	_	posso entrare? xx grazie // prego prego si accomodi // buongiorno // buongiorno // alloramh // marta banchi // sì // sì //	dunque	marta tu porti il programma dell'' anno accademico duemilasedici duemiladiciassette // sì // dell''anno scorso //
KIP	BOC1006	17-2	17-2	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=61188&end=64790	exam	00:23:00	2	asymmetric	yes	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	Presa di turno	Introduzione o ripresa del topic	_	// dell''anno scorso // quindi fai la prima parte con me // hai un documento? // sì // grazie // okay perfetto // allora // sì	dunque	la tua tesina l'' ho corretta io però te la commento dopo // okay // alla fine dell'' esame // ehmh dunque della par~ tu dai l''
KIP	BOC1006	20-3	20-3	BO092	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=66750&end=70321	exam	00:23:00	2	asymmetric	yes	fixed	2018	BO	2-Professionals	M	emilia-romagna	61-65	yes	_	Introduzione o ripresa del topic|Filler	_	// allora // sì dunque la tua tesina l'' ho corretta io però te la commento dopo // okay // alla fine dell'' esame // ehmh	dunque	della par~ tu dai l'' esame da frequentante? // eh sì // devi darlo da frequentante hai portato per la mia parte sia le slide
ParlaTO	PTB025	184-9	184-9	TOI116	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=363030&end=367566	semistructured-interview	01:09:45	4	asymmetric	yes	fixed	2019	TO	0-Retired	F	piemonte	66-70	yes	_	Prolettico|Filler	_	eh eh io ho messo italiano eh // come come // mh // come volete // anche lui allora // eh no è nato città e provincia di nascita	dunque	papà è nato // a castell''alfero // parla a casa sua dialetto? sì // // parlicchia // qualche altra lingua // // // eh no xx
ParlaTO	PTB025	738-9	738-9	TOI117	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=1552066&end=1556009	semistructured-interview	01:09:45	4	asymmetric	yes	fixed	2019	TO	0-Retired	M	piemonte	71-75	yes	_	Riformulazione	_	// // eh però // // ma eh lei lavorava sempre in quartiere anche lei oppure altrove? // no no allora io la la zona di lavo~	dunque	// partiamo dall''inizio // mh // io ho cominciato nel settantacinque // e e ho insegnato nove anni fino
ParlaTO	PTB025	1328-1	1328-1	TOI117	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=2929170&end=2930370	semistructured-interview	01:09:45	4	asymmetric	yes	fixed	2019	TO	0-Retired	M	piemonte	71-75	yes	_	Filler	_	se li prende eh cioè non // non non disdegna niente eh non disdegna niente // no // sì sì no no ma io son fatto così // xx // eh	dunque	// mh come dicevi? cosa cosa fate dopo la pensione // dopo // sì // allora // tanto per cominciare premetto una cosa ma non
ParlaTO	PTB025	1487-0	1487-0	TOI117	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=3306999&end=3309693	semistructured-interview	01:09:45	4	asymmetric	yes	fixed	2019	TO	0-Retired	M	piemonte	71-75	yes	_	Prolettico	_	attivo infatti il prezzemolo // // no no no // un po'' dappertutto // allora allora allora io se volete // xxx // saperlo //	dunque	io vado è vero a dormire // nove n~ no~ nove e mezza esagera alle dieci // sì va va lascia perdere va // però io non adesso da
KIP	TOC1002	262-0	262-0	TO006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1002&begin=1126870&end=1134501	exam	00:20:06	2	asymmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	56-60	yes	Presa di turno	Introduzione o ripresa del topic	_	responsabilità di quello che fa e l'' assemblea che eventualmente lo sanziona ma non può comandarlo // mh mh // ehm //	dunque	abbiamo detto tutto sul rapporto sugli amministratori direi di sì abbiamo chiarito la nomina la revoca una cosa ci
KIP	BOC1005	177-6	177-6	BO104	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=655958&end=660340	exam	00:26:22	2	asymmetric	yes	fixed	2018	BO	2-Professionals	F	emilia-romagna	36-40	yes	_	Riformulazione	_	senso che si dovrebbe attenere appunto a valutare ciò per cui è stato costruito il test // sì quindi diciamo allora il c~	dunque	il la validità è un concetto estremamente ampio // l~ una piccola parte del concetto di validità che è quello che tu hai
KIP	BOD1010	522-1	522-1	BO103	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=2283400&end=2284928	lecture	01:49:14	1	asymmetric	no	fixed	2018	BO	2-Professionals	M	lazio	51-55	yes	_	Filler	_	quindi fa re quino primo si di bemolle quinto primo di sol bemolle quinto primo di re // okay? // quindi la cosa suona // // e	dunque	no // e poi lui fa // // chiaro? // seconde quattro battute // cioè lui avrebbe potuto spalmarlo su quattro battute invece
KIP	BOD1010	577-1	577-1	BO103	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=2556063&end=2557671	lecture	01:49:14	1	asymmetric	no	fixed	2018	BO	2-Professionals	M	lazio	51-55	yes	_	Filler	_	non te le chiede nessuno però // si fanno // capita di ascoltarle // a volte anche proprio come omaggio a coltrane // ehm	dunque	// gli ho fatto dimenticare le cose // sì bra~ bravo difendimi difendimi // allora ehm // c'' è infine // infine c'' è prima di
KIP	BOA3017	917-5	917-5	BO139	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=1417530&end=1419255	free-conversation	00:30:22	4	symmetric	no	free	2019	BO	0-Students	M	emilia-romagna	21-25	yes	_	Filler	_	altra della lindt? // sì // no però tipo l'' ultima era abbastanza formale quindi era piena di // ehmh // no no certo no sì	dunque	// no che palle cazzo // eh // adesso mi divertirò anche riascoltando l'' audio di // // questa è molto più colorita // //
KIP	BOD1005	381-0	381-0	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1538907&end=1545862	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	_	Introduzione o ripresa del topic	_	// allora dopo aver discusso la cosa anche col dottor rossi vediamo di // trovare una soluzione equa per tutti //	dunque	la distanza fra il dicio~ diciannove dicembre e il diciotto gennaio // è praticamente di due settimane lavorative //
KIP	BOD1005	597-7	597-7	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2432293&end=2439707	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	no	_	_	_	a è derivabile capito ora questo lo leggo come derivabile // se a è derivabile da gamma uno // e bi è derivabile da gamma due	dunque	la loro congiunzione è derivabile da gamma uno e gamma due e è zero // quindi tutte le regole che vi abbiamo dato //
KIP	BOD1005	664-3	664-3	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2673392&end=2678522	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	_	Introduzione o ripresa del topic|Filler	_	della logica va bene dove voi avete visto una formula molto piccola ma almeno // un'' idea // ve la siete fatta // va bene eh	dunque	io direi a questo punto forse di // a meno che non abbiate domande sulla dimostrazione del teorema di validità // eh //
KIP	BOD1005	695-0	695-0	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2800658&end=2802013	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Presa di turno	Introduzione o ripresa del topic|Filler	_	insieme al foglio con le domande e fate lì // poi quello che voi non volete che io legga // xx sopra e basta // va bene? // oh //	dunque	eh // diciamo vorrei un atti~ diciamo ci sono due argomenti // di cu~ che vorrei trattare oggi // uno // è se volete un
ParlaBO	PBB031	736-0	736-0	BOI108	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB031&begin=1395030&end=1398040	semistructured-interview	00:49:58	3	asymmetric	yes	fixed	2024	BO	5-Service-Workers	F	emilia-romagna	56-60	yes	_	Filler	_	sì // e quindi c''é anche quell''aspetto l''altra faccia della medaglia sicuramente // che non è // eh sempre positivo //	dunque	mh direi che // eh // fa un po'' parte della // di questi cambiamenti ecco // de // sì sì sì sì // mh // che mh ecco non abi~ non
ParlaBO	PBC021	148-0	148-0	BOI051	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC021&begin=299120&end=302460	semistructured-interview	00:51:51	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	emilia-romagna	76-80	yes	_	Riformulazione	_	per delle scuole sì facevamo da mangiare per le scuole // e prima // mh lavoravi sempre lì oppure // no prima ho fatto //	dunque	da da ragazzina il primo lavoro è stato // ho fatto un po'' la sarta // ma ero una bambina allora avevo dodici anni // sì sì // e
ParlaTO	PTD004	1052-2	1052-2	TOI042	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD004&begin=1615373&end=1617411	semistructured-interview	01:15:14	4	asymmetric	yes	fixed	2019	TO	0-Retired	M	piemonte	66-70	yes	_	Prolettico|Filler	_	anni settanta era ancora così // anni settanta no // c''era ancora un ambiente molto // eh // era ancora così // ruspante mh	dunque	// eh // mio padre che era lì sempre per // perché il comune era era lì no // e combinazione ehm all''epoca fumava // la
ParlaBO	PBB006	590-0	590-0	BOI020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB006&begin=2289093&end=2291221	semistructured-interview	01:00:07	2	asymmetric	yes	fixed	2022	BO	2-Professionals	M	emilia-romagna	51-55	yes	Presa di turno	Filler	_	di prima // eh di anpi // volevo chiederle come ha conosciuto anpi // eh x x xx non lo so eh per caso ha xxx con loro? //	dunque	adesso ci penso un attimo // la prima sì aspetta // la prima cosa che abbiamo fatto con anpi // xxx con anpi del quartiere xx
ParlaBO	PBB019	343-1	343-1	BOI057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB019&begin=1075170&end=1079746	semistructured-interview	00:30:45	2	asymmetric	yes	fixed	2022	BO	2-Professionals	F	emilia-romagna	51-55	yes	_	Riformulazione	_	// sì sì sì // quello già rientra quelli già rientrano nella biografia // quindi non t~ n~ è diviso a metà tra // però	dunque	diciamo dovrebbere essere un film un f~ un festival di film indipendenti // ah okay // per cui non prendere quelli di
KIP	TOD1002	#CHECK	#CHECK	_	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1002&begin=3125510&end=3126810	lecture	01:29:28	1	asymmetric	no	fixed	2018	TO	_	_	_	_	no	_	_	_	// alla musica // che cosa comunica la musica // moltissimo // ma che non si può // tradurre in un altro linguaggio // se uno		
