corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	TOA1003	1002-1	1002-1	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=1944304&end=1946205	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	un po'' la scrittura // n~ a snellire un po'' // però in linea di massima ci siamo // ehm // con questi accorgimenti // io	direi	a questo punto // ehm poi vediamo se lei ha delle domande ma // n~ // ah no volevo solo dirle che mi son procurata in realtà mi
KIP	TOA1003	1691-0	1691-0	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=3687692&end=3689302	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	di neri // sì? // di neri // così io poi scrivo a neri // sì sì // va bene // mh? // d'' accordo // d'' accordo? // grazie //	direi	che per il momento è tutto // mh? // benissimo // buon lavoro // grazie // arrivederci // arrivederci grazie //
KIP	BOA1017	91-17	91-17	BO082	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1017&begin=190490&end=197610	office-hours	00:09:10	2	asymmetric	no	free	2018	BO	2-Professionals	M	emilia-romagna	41-45	no	_	_	_	// gli argomenti che lei diciamo mi ha citato sarebbero troppi anche per una tesi magistrale verosimilmente quindi	direi	che focaliziamo // mhmh // sì sì sì // o facciamo una tesi // diciamo // su sul genere in generale come aveva detto // m // e
KIP	BOA1017	240-9	240-9	BO082	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1017&begin=501889&end=504635	office-hours	00:09:10	2	asymmetric	no	free	2018	BO	2-Professionals	M	emilia-romagna	41-45	yes	_	_	Modulazione del grado di confidenza	in un paio di pagine anche con riferimento ai testi che citava // sì sì sì sì // il suo progetto di tesi e poi ci vediamo	direi	// l'' ideale sarebbe se riuscisse a farlo entro // e // per marzo diciamo no luglio lei vuole andare vero? // luglio allora
KIPasti	KPN011	1177-1	1177-1	PKP120	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN011&begin=1848065&end=1851802	free-conversation	00:42:06	4	symmetric	no	free	2020	RN	0-Students	F	_	26-30	no	_	_	_	// l''unica parte difficile di questa torta tipo la cottura perchè // perchè ha comunque s~ ah va bene non so quello // non	direi	che si rovina cioè ma poi so~ non sono andata in fondo in fondo quindi // no no no si rovina sì sì sì // sì sì sì // va bene dai //
ParlaBO	PBA008	499-2	499-2	BOI067	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA008&begin=1271355&end=1274887	semistructured-interview	00:42:44	2	asymmetric	yes	fixed	2022	BO	0-Unemployed	F	_	21-25	no	_	_	_	terra terra no del del colloquia~ cioè colloquiale proprio // mh // mhmh // ma e sono giovani i tuoi colleghi? // ehm no	direi	di no hanno mh ha~ // un''età stimata di trent''anni abbondanti // ah sei la piccina // sì sì sì sotto questi termini sono la
ParlaBO	PBA008	573-2	573-2	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA008&begin=1443200&end=1444246	semistructured-interview	00:42:44	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	per quello e lavoro al mc donald cioè quindi // mh // no no c''hai ragione // lo lo onoro anche come come posizione // sì sì	direi	che // xx // sì // ehm // vabbè comunque dai no lavoro a parte adesso parliamo di // cavolate // parliamo più di cavolate //
ParlaTO	TOD2010	425-5	425-5	TO046	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2010&begin=1609452&end=1618262	semistructured-interview	00:29:10	2	symmetric	yes	fixed	2018	TO	0-Students	M	_	21-25	yes	_	_	Specificazione	quello perché // mhmh // eh è un festivaleh molto bello // in un paese incredibile // con della gente magnifica quindi	direi	quello però concerti specifici veramente noneh non me ne viene in mente manco uno // // quindi non non so // okay // // e a
ParlaBO	PBC023	126-0	126-0	BOI058	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC023&begin=416870&end=418948	semistructured-interview	00:51:25	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	66-70	no	_	_	_	// con solo una famiglia insomma // e pensi che come città possa essere un buon posto per i tuoi figli e i tuoi nipoti? //	direi	direi di sì perché // c''è comunque del lavoro // ci sono appunto // le uners~ università per i giovani che vogliono
ParlaBO	PBC023	126-1	126-1	BOI058	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC023&begin=416870&end=418948	semistructured-interview	00:51:25	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	66-70	no	_	_	_	con solo una famiglia insomma // e pensi che come città possa essere un buon posto per i tuoi figli e i tuoi nipoti? // direi	direi	di sì perché // c''è comunque del lavoro // ci sono appunto // le uners~ università per i giovani che vogliono studiare //
