corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaTO	PTB001	1752-1	1752-1	TOI022	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=3149560&end=3150750	semistructured-interview	01:17:52	3	asymmetric	yes	fixed	2019	TO	0-Retired	M	puglia	61-65	no	_	_	_	avuto p~ // non è una cosa che mi interessa comunque è una cosa // politica // che comunque casa pound // che sono // partito	quindi	un po'' più mh // mi telefonavano per darmi una mano // per eh fare manifestazioni contro questo suk // mh mh // che io non mai
ParlaBO	PBB028	206-7	206-7	BOI099	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=469540&end=473700	semistructured-interview	00:54:54	3	asymmetric	yes	fixed	2024	BO	6-Craft-Workers	M	emilia-romagna	31-35	no	_	_	_	si fanno paese a parte // e invece pieve no pieve è tutta unita quindi se fa una cosa pieve // la fan un gran numero di persone	quindi	secondo me forse è anche quello che vince // xxx // il festival // eh come il festival // il festival // il festival che
ParlaBO	PBB028	697-8	697-8	BOI100	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1558981&end=1562706	semistructured-interview	00:54:54	3	asymmetric	yes	fixed	2024	BO	6-Craft-Workers	M	emilia-romagna	31-35	no	_	_	_	invece io e luca era tanto era maggio si stava bene nella casetta di legno // tanto alla fine aveva messo proprio il letto	quindi	cambiava proprio niente dormire // alla notte non era freddo al~ alla mattina stavi riuscivi a stare a letto che non era
ParlaBO	PBB028	867-0	867-0	BOI100	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1921041&end=1922594	semistructured-interview	00:54:54	3	asymmetric	yes	fixed	2024	BO	6-Craft-Workers	M	emilia-romagna	31-35	yes	_	Introduzione o ripresa del topic	_	anche quello // come contavano per dire quando erano le quaranta ore // compravano il vino solo che una volta costava //	quindi	segnavano sul tavolo // quanti bicchieri bevevano che poi facevano tutti i conti alla fine così capito // e nien~ mio
ParlaBO	PBB028	1221-0	1221-0	BOI100	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=2720602&end=2723317	semistructured-interview	00:54:54	3	asymmetric	yes	fixed	2024	BO	6-Craft-Workers	M	emilia-romagna	31-35	yes	_	Introduzione o ripresa del topic	_	quelli più vecchi magari di prima // e che si mettono lì ascoltano e s~ se vai a tempo se fai un botto fuori posto //	quindi	è un punto un quarto di punto // xxx così chi fa meno punti vince // quindi tu non hai continuato dopo? se capisco // no no no
KIPasti	KPN029	572-2	572-2	PKP136	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=817960&end=819360	free-conversation	00:31:11	3	symmetric	no	free	2022	BO	0-Students	M	basilicata	21-25	yes	_	Prolettico	_	qua // giù e pa'' perché // torna la mia coinquilina che sta mh in viaggio // e quindi cioé sarà un po'' di casino // nel caso	quindi	o rinvio // oppure volevo chiedervi si poteva fare a casa vostra // e scusa fate questa cosa domani // mh // eh si potrebbe
KIPasti	KPN029	638-2	638-2	PKP140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=916070&end=917890	free-conversation	00:31:11	3	symmetric	no	free	2022	BO	2-Professionals	F	basilicata	26-30	yes	Presa di turno	_	_	il motore // sì // ottimo // al ritorno mentre stavan tornando // solamente a paola poteva capitare // xxxx // // oddio e	quindi	mo // eh // eh boh io ho messo // ho visto tipo che ha messo pure la storia // dove aveva scritto aspe~ // tipo è esploso il
ParlaBO	PBB015	81-0	81-0	BOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB015&begin=274397&end=276181	semistructured-interview	00:22:45	3	asymmetric	yes	fixed	2022	BO	0-Students	F	piemonte	21-25	yes	_	_	Marcatura dell'inferenza	gli snodati poi i filobus poi ti insegnano ad andare in montagna in tre anni prendi tutte le abilitazioni diciamo //	quindi	voi siete già al top // sì // okay // mh non si direbbe ma lo siamo a vederci così // modestamente // vabbè buono // // ma e mh
ParlaBO	PBB015	368-0	368-0	BOI045	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB015&begin=893246&end=894557	semistructured-interview	00:22:45	3	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	M	emilia-romagna	31-35	no	_	_	_	fai son piene cioè un // non c''è una fermata vuota neanche a piangere // è vero questo lo vedo anch''io che n~ ci passo solo //	quindi	sì c''è un // sì sì quindi dai a bologna se vuoi ce n''è // // quindi siete siete gli eroi per un sacco di persone // mh mh mia
KIP	BOA3016	150-0	150-0	BO148	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3016&begin=300787&end=303070	free-conversation	00:14:38	2	symmetric	no	free	2019	BO	0-Students	F	lombardia	21-25	yes	_	Introduzione o ripresa del topic	_	male negli ultimi vabbò otto mesi particolarmente quindi // ormai lasciare il ragazzo era il meno peggio // eh eh //	quindi	è st~ è stata be~ adesso sta benissimo // // ci credo // eh sì // poi adesso potrà scatenare un po'' l'' ormone immagino // sì
KIPasti	KPN007	137-2	137-2	PKP016	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN007&begin=233390&end=235550	free-conversation	00:55:06	4	symmetric	no	free	2020	BO	4-Clerical-Workers	F	emilia-romagna	51-55	no	_	_	_	all''eurospar emh fatto da loro // ah // mh toni ho paura che la ricotta non sia // è acida? // è che è ape~ // scadeva ieri	quindi	non te la diamo a te // per una crescentina per piacere // te la do qui? // sì sì grazie va bene // grazie ila // la fai xx quella
KIP	BOC1003	277-2	277-2	BO090	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1003&begin=728087&end=731090	exam	00:24:46	2	asymmetric	yes	fixed	2018	BO	0-Students	M	sicilia	21-25	no	_	_	_	in cui si era si era // eh si decise di collocare questa biblioteca // era di faci~ cioè era facilmente // accessibile e	quindi	era anche facile rubare i libri // in più // quando neleh nel quarantacinque finì la guerra e si decise di smistare i libri
ParlaBO	PBA006	417-1	417-1	BOI064	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA006&begin=993440&end=994790	semistructured-interview	00:46:48	2	asymmetric	yes	fixed	2022	BO	0-Unemployed	F	emilia-romagna	21-25	no	_	_	_	lercio che sta barcollando per la strada non so come ha fame ha una fame chimica assurda e deve andare a mangiare // e	quindi	si fionda da zamboni tre // e // sono eventi più unici che rari // allora // avrei il piacere di raccontare determinati
ParlaBO	PBA006	989-3	989-3	BOI064	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA006&begin=2279590&end=2282520	semistructured-interview	00:46:48	2	asymmetric	yes	fixed	2022	BO	0-Unemployed	F	emilia-romagna	21-25	no	_	_	_	bus ci sono e come hai detto tu prima fare amicizia di // ragazzi della zona // e quasi tutti hanno il mezzo // hanno il mezzo	quindi	non hai necessità di dover anzi // ca~ anzi ti dirò di più nell''ultimo periodo son // più i fuorisede che arrivano con la
KIP	BOA1005	44-6	44-6	BO033	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1005&begin=105295&end=114977	office-hours	00:09:26	2	asymmetric	no	free	2018	BO	0-Students	F	lazio	21-25	yes	_	Filler	_	del dipartimento // benissimo e lei su che cosa vorrebbe in particolare lavorare // e pensavo di farlo appunto	quindi	avendo un corpus di di testi sottomano di farlo sulle strategie operative per la didattica della scrittura // mh mh // mh
KIP	BOA1005	54-0	54-0	BO026	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1005&begin=132588&end=136155	office-hours	00:09:26	2	asymmetric	no	free	2018	BO	2-Professionals	F	basilicata	56-60	yes	_	_	Marcatura dell'inferenza	italiano // sì // sì sì loro lavorano molto su sui testi scrivono essay // mh mh // e compiti scritti ne hanno tantissimi //	quindi	l~ la la scrittura in italiano elle due // sì // all'' università // sì // le strategie operative di insegnamento della
ParlaBO	PBC016	1-9	1-9	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1720&end=9130	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	la polenta sugo dentro il sugo perché avesse un po'' di sapore diverso // perfettto // ah quindi dicevamo che comunque sì	quindi	lei non non a questo punto direi che salterò la parte su bologna // ehm appunto perché lei diceva che non è proprio
ParlaBO	PBC016	9-5	9-5	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=35760&end=41350	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	fine perché ho vissuto solo a bologna // perché sono venuto che avevo n n~ neanche cinque anni quindi // // ah beh sì allora	quindi	comunque se posso chiederle visto che comunque immagino no? // anche per lei? cioè lei pensa che comunque ci siano ci sia
ParlaBO	PBC016	234-5	234-5	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=952360&end=954676	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	la versione come posso dire quindi // c''è il mio impegno ma mi pagano pure // sì in effetti se no // e quindi no diceva e	quindi	che // principalmente quindi ci sono dei bambini qui? o ci sono anche adulti? // no allora l''istituto // ha un corso di
ParlaBO	PBC016	352-3	352-3	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1310720&end=1312860	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	così ti insegno come si come ci come ci si orienta // eh grazie decisamente // ne avrei // ne avrei bisono // tra l''altro	quindi	comunque // come posso dire quindi nel senso il fatto di // cioè co~ qua~ quali possono essere alcune cioè strategie che
ParlaBO	PBC016	481-0	481-0	BOI038	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1721590&end=1723470	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	2-Professionals	M	piemonte	61-65	no	_	_	_	// il portico anzi è un aiuto perché ti tiene ben distante dalla strada da eh dal traffico // ah eh non ci avevo pensato //	quindi	i portici in realtà sono // quello che forse rendono la città~ molto più eh // come si dice // eh // fruibile di altre città
ParlaBO	PBC016	490-18	490-18	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1754160&end=1759990	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	ah beh si effettivamente // quindi sono molto cioè un aspetto positivo di di bolognna che immagino non c''è in altre città	quindi	comunque // che apprezza diciamo di bologna // sì i portici sono sono importanti // eh quello // si effettivamente // tra
ParlaBO	PBC016	561-1	561-1	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1951140&end=1955240	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	_	Marcatura dell'inferenza	lontani // dove tu s~ senti una certa spiritualità // altri dove tu non la senti ma quello è una questione soggettiva // ah	quindi	anche molto si ci sta anche come sentimenti // sì è una questione soggetiva è una questione anche del momento // chiaro
ParlaBO	PBC016	826-5	826-5	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2909040&end=2915630	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	// ah se se vuole io direi che più o meno direi che ho fato le domande // bene o male // ah // che mi ero segnata volendo	quindi	non so se nel caso disposto a mandare disponibile cioè a mandare la registrazione // di a~ farci usare la registrazione
KIP	TOC1004	202-8	202-8	TO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1004&begin=528996&end=534173	exam	01:08:11	3	asymmetric	yes	fixed	2018	TO	0-Students	F	sicilia	21-25	no	_	_	_	eh al~ diciamo nu~ dal punto di vista nutrizionale // possono determinare una riduzione del sistema immunitario e	quindi	possono andare a intaccare quindi eventuali infezioni // eh // d'' accordo // e poi qual è il ruolo dei suinetti da questo
KIP	TOC1004	231-2	231-2	TO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1004&begin=612541&end=614988	exam	01:08:11	3	asymmetric	yes	fixed	2018	TO	0-Students	F	sicilia	21-25	no	_	_	_	dai dai lattonzoli che eh stimolano appunto le mammelle proprio con dei colpi diciamo con la testa // questo determina	quindi	un impulso nervoso // attraverso una serie di meccanismi // esatto // di suzionemh // comportamentali e di suzione ed
KIP	TOC1004	314-0	314-0	TO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1004&begin=850975&end=852805	exam	01:08:11	3	asymmetric	yes	fixed	2018	TO	0-Students	F	sicilia	21-25	yes	_	Introduzione o ripresa del topic|Filler	_	ecco perché le prime ore sono assolutamente // diminuisce // esatto // sì sì sì // fondmentali da questo punto di vista //	quindi	allora eh successivamente // eh effettuiamo praticamente il pareggioamento // eheffettuiamo la pesatura dei
