corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOA3001	625-1	625-1|625-2	BO002	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3001&begin=1337068&end=1339843	free-conversation	01:08:22	2	symmetric	no	free	2018	BO	0-Students	F	toscana	21-25	no	_	_	_	nemmeno il mio cadavere // che ansiha // no dopo glielo chiedo // sì sì // così // che ore sono? // non lo so // perché	mi sa	che mi si è fermato l'' orologio // le undici e cinquantuno // non è ancora mezzogiorno // no // figo // prestissimo //
KIP	BOA3001	1047-7	1047-7|1047-8	BO002	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3001&begin=2300401&end=2305404	free-conversation	01:08:22	2	symmetric	no	free	2018	BO	0-Students	F	toscana	21-25	no	_	_	_	// sì // // io ho un amore per legolas che va oltre // qualunque non vedi l'' ora che arrivi // // sì tutto però nel primo libro	mi sa	che arriva solo alla fine // sì no no // ma anche con arwen e aragon non c'' è niente nel primo libro // è tutto dopo // mh //
KIPasti	KPS006	641-2	641-2|641-3	PKP004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS006&begin=1128584&end=1131008	free-conversation	00:34:12	5	symmetric	no	free	2020	MT	2-Professionals	F	puglia	51-55	no	_	_	_	opplà // hai scritto // a stefano? // xxx // che abbiamo avuto la // (eh beh comunque dobbiamo // poi ho detto // già questa	mi sa	dire come va la visita // che dice // ma lui sta lì adesso ? // lui sta a milano // non sta più a bologna // perchè fa
KIP	TOA1006	348-0	348-0|348-1	TO078	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1006&begin=800209&end=802011	office-hours	00:45:54	3	asymmetric	no	free	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	// mi devo laureare a marzo // ma ce la facciamo xxx deve scrivere ancora cinque pagine // eh sì // eh sì mio dio // ah //	mi sa	che dovrò tagliare tanto poi // dieci toh dieci pagine va bene? // io scrivo poi tagliamo // no // no // no // no no no lei pa~ e
ParlaBO	PBB014	175-8	175-8|175-9	BOI041	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=305199&end=308890	semistructured-interview	00:31:54	2	asymmetric	yes	fixed	2022	BO	7-Plant-Operators	F	estero	46-50	no	_	_	_	a livello di // mhmh // sia si strure lasciate andare come strutture // come palazzi come edifici ma anche come persone	mi sa	brutto dirlo però proprio un po'' // mhmh // mh // un po'' abbandonato un po'' secondo me // credo cioè si sapere la risposta eh
KIP	TOA3010	502-0	502-0|502-1	TO085	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3010&begin=1574549&end=1576731	free-conversation	00:27:13	2	symmetric	no	free	2018	TO	0-Students	F	lombardia	21-25	no	_	_	_	andati i miei amici dell'' udu // infatti mi leggerà il resoconto vediamo un po'' come siamo messi // mi sa male comunque //	mi sa	che sono molto di destra // ma questa qui? // non ce la faccio son pienissima // la crosta è un po'' meglio forse // un po'' mi
KIP	BOA3013	286-0	286-0|286-1	BO095	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3013&begin=760130&end=761259	free-conversation	00:16:21	2	symmetric	no	free	2018	BO	0-Students	F	sicilia	21-25	no	_	_	_	// oppure perché non mi guardi? // esatto // perché non mi guardi più? // mamma mia // non xx xxx andare a studiare // mh //	mi sa	che sei un po'' stanca? // chissà perché poi xxx // c'' è freddo // il freddo stanca // // a me il freddo stanca anche come
KIP	BOA3013	292-1	292-1|292-2	BO097	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3013&begin=777740&end=781914	free-conversation	00:16:21	2	symmetric	no	free	2018	BO	0-Students	F	lombardia	21-25	no	_	_	_	po'' stanca? // chissà perché poi xxx // c'' è freddo // il freddo stanca // // a me il freddo stanca anche come pensieri // mh	mi sa	che adesso lavo i piatti poi mi faccio ancora una mezz'' oretta con // tisana o caffè d'' orzo // ci sta ci sta // e poi xx // sì i
ParlaBO	PBB019	586-1	586-1|586-2	BOI057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB019&begin=1816510&end=1818950	semistructured-interview	00:30:45	2	asymmetric	yes	fixed	2022	BO	2-Professionals	F	emilia-romagna	51-55	no	_	_	_	identificabile perchè non è troppo marcato // eh si capisce che non sei di bologna però non si capisce di dove // // senti	mi sa	che io ormai devo andare // sì no infatti io non voglio // tu hai abbastanza materiale? // ma sì direi che // adesso vediamo
KIP	TOA3011	782-1	782-1|782-2	TO085	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1210454&end=1212303	free-conversation	00:23:54	4	symmetric	no	free	2019	TO	0-Students	F	lombardia	21-25	no	_	_	_	// il cane xxx già // credo che sia lo stesso formato di cani di // primo incontro con gianna // di guido più o meno // sì	mi sa	che è simile // ah eh rossi? // eh non non sta un attimo fermo // no ma adesso è tranquillo ma perché tu quando l'' hai
