corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPN006	1213-5	1213-5	PKP019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN006&begin=1674788&end=1676458	free-conversation	00:35:02	4	symmetric	no	free	2020	BO	0-Retired	M	_	81-85	no	_	_	_	ne basta un goccio al mese e sei caciucco eh // sì esatto // quelle ne metti poco eh è forte // allora // poi // tu eh ehm che ne	sai	più di noi // ehm puoi sempre informarti // no no lo so chiedevo se // cosa // se è l''ama~ // comunque uno al al al al mese con un
KIPasti	KPN006	1270-1	1270-1	PKP019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN006&begin=1738347&end=1739807	free-conversation	00:35:02	4	symmetric	no	free	2020	BO	0-Retired	M	_	81-85	no	_	_	_	è tua // ecco // grazie della compagnia // ah prego prego // prego nonno // comunque oggi ho fatto il cuoco // mh mh // ''spè	sai	perchè dico questo? // mh // eh // non ho fatto niente io // ho cotto // ma metter la roba dentro così era cosa c''era
KIPasti	KPN006	1425-1	1425-1	PKP020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN006&begin=1903292&end=1904282	free-conversation	00:35:02	4	symmetric	no	free	2020	BO	0-Students	M	_	16-20	no	_	_	_	camino // ma sì non accendiamo il ca~ // però per dire che c''è il caminetto // quindi in qualche modo si accende // sì // però	sai	cosa? // sai cosa nonno? // il il termo // l''hanno costruito loro l''hanno reso abitabile // è comodo // il termo // capito?
ParlaBO	PBC010	648-3	648-3	BOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=2508330&end=2514240	semistructured-interview	00:45:06	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	dopo però // mh è più un orientamento per dire nella mia università c''è questo questo quest''altro // ma tu non	sai	cioè io ho fatto lo scientifico se avessi~ o anche i miei compagni che hanno scelto economia // tu non hai mai fatto una
ParlaBO	PBC010	651-5	651-5	BOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=2517590&end=2519841	semistructured-interview	00:45:06	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	no	_	_	_	compagni che hanno scelto economia // tu non hai mai fatto una lezione di economia in vita tua // sì sì s~ // quindi non è che	sai	cos~ cioè magari // di che cosa si tratta // sì eh ti~ mi~ pensi che ti piaccia però poi vai all''università e vedi che in
ParlaTO	PTD001	139-7	139-7	TOI020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD001&begin=427629&end=432412	semistructured-interview	00:51:20	2	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	56-60	no	_	_	_	hanno mandato da da roma per le carte elettroniche // e in effetti ci ci sono delle cose // che comunque proprio non no~ non	sai	perchè o non ti fanno il corso // eh mh quindi ti // cioè non ci sono corsi di formazione? // no ti fanno però cioè che ne so
ParlaTO	PTD001	363-1	363-1	TOI020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD001&begin=1149422&end=1155556	semistructured-interview	00:51:20	2	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	56-60	yes	Marcatura della conoscenza condivisa	Prolettico	_	nel senso che non dormivamo a casa // non c''erano delle situazioni // non dormivamo a casa di nessuno quindi // eh	sai	non hai l''obbligo poi di tornare perchè comunque a una certa ora sei a casa di altri così // sì sei a casa di altri // c''hanno
ParlaTO	PTD001	402-1	402-1	TOI020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD001&begin=1284049&end=1288637	semistructured-interview	00:51:20	2	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	56-60	yes	Richiesta di accordo/conferma	Introduzione o ripresa del topic	_	stressante comunque // poi come mi dicevano guarda che anche a torino è la stessa cosa perchè tanto nel quartiere // però	sai	nel quartiere io l''ho sempre vissuta così se tu non dai confidenza // e ti dicono qualcosa // affari loro // e te la dicono
ParlaTO	PTD001	417-0	417-0	TOI020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD001&begin=1321811&end=1324202	semistructured-interview	00:51:20	2	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	56-60	yes	_	Filler	_	se ero diventata vedova e loro non l''a~ te lo giuro // veramente // // e non l''avevano saputo // e tu cos''hai detto? //	sai	io niente proprio io gli ho detto no // veramente è ancora vivo // sono andati dalla cugina di mio marito perchè un anno
ParlaTO	PTD001	702-2	702-2	TOI020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD001&begin=2053792&end=2055322	semistructured-interview	00:51:20	2	asymmetric	yes	fixed	2019	TO	0-Retired	F	_	56-60	no	_	_	_	// sì non ci troviamo più // e qu~ non ti trovi più e diventa // perdi // posso? // sì sì // xx marcello mangia come un // no no	sai	che non me lo ri~ // no no no // e quindi no sì stavo registrando // eh che // no mi stavi dicendo che vi trovate a alla viglia di
