corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBA006	995-2	995-2	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA006&begin=2293155&end=2295715	semistructured-interview	00:46:48	2	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	Conferma dell'attenzione	_	_	che arrivano con la macchina di ragazzi ve~ g~ // bolognesi che hanno // la macchina già qui // piccolo meme // sì no	immagino	perchè // cioè diventa è i~ // oddio la vedo anche un po'' strana comunque che il fuorsede c''abbia la macchina // eh sì // non
ParlaBO	PBA006	1112-7	1112-7	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA006&begin=2522949&end=2525309	semistructured-interview	00:46:48	2	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	Accordo	Filler	_	per me e per quello che sarò // adesso mi trovo bene // domani chi lo sa // magari crepo // // no certo da questo punto di vista	immagino	// anche se in realtà // penso che comunque abbia una cioè sia una città // che potenzialmente può offrirti anche al di là
ParlaBO	PBC016	9-13	9-13	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=35760&end=41350	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma|Cessione del turno	_	_	che avevo n n~ neanche cinque anni quindi // // ah beh sì allora quindi comunque se posso chiederle visto che comunque	immagino	no? // anche per lei? cioè lei pensa che comunque ci siano ci sia una città diciamo // comoda? anche o comunque ci sono non
ParlaBO	PBC016	31-18	31-18	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=145810&end=151780	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma	_	Modulazione del grado di confidenza	è normale che cambi // ah beh quindi comunque c''erano molti luoghi d''inco~ cioè c''erano anche più luoghi d''incontro	immagino	all''epoca // più più spontanei e // cioè poi bisogna dire anche una cosa che è chiaro che uno a vent''anni fa delle cose
ParlaBO	PBC016	48-5	48-5	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=208130&end=210920	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	non so se conosci // eh // eh // la str~ le strade son buone cioè no ci si muove molto bene insomma // ah meno male anche perché	immagino	// diciamo // c''è qualche pista ciclabile fatta male perché sul marciapiede ti piglia mezzo marciapiede devi stare
ParlaBO	PBC016	115-11	115-11	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=488180&end=494620	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma	_	Marcatura dell'inferenza	cioè chiaramente multiculturale // xxxx questo? // decisamente direi anche tra l''altro adesso con l''università	immagino	ci sono molti giovani immagino che arrivano quindi // sì // questo aiuta immagino anche // // ah okay x x x // // okay ehm
ParlaBO	PBC016	115-16	115-16	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=488180&end=494620	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma	Filler	Marcatura dell'inferenza	// xxxx questo? // decisamente direi anche tra l''altro adesso con l''università immagino ci sono molti giovani	immagino	che arrivano quindi // sì // questo aiuta immagino anche // // ah okay x x x // // okay ehm cosa stavamo dicendo? // ah e credo
ParlaBO	PBC016	117-3	117-3	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=495450&end=497908	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	Richiesta di accordo/conferma	_	Marcatura dell'inferenza	tra l''altro adesso con l''università immagino ci sono molti giovani immagino che arrivano quindi // sì // questo aiuta	immagino	anche // // ah okay x x x // // okay ehm cosa stavamo dicendo? // ah e credo sui sui persone comunque diciamo straniere sugli
ParlaBO	PBC016	193-2	193-2	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=784120&end=785910	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	Accordo	_	_	ci sono anche molte soddisfazioni // certo che è anche un lavoro impegnativo perché non è un lavoro // e leggero // ah eh	immagino	perché // soprattutto l''interpretazione dei sogni // non non è proprio // cioè deve essere complica~ ancora più
ParlaBO	PBC016	342-0	342-0	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1285440&end=1287889	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	portici ti ti devi basare sulle strade che devi fare sul percorso // ah okay quindi // g~ giusto perché non so io // ehm //	immagino	non so io pensavo pensavo che ad esempio // cioè per me se per me fosse difficile anche per // immaginavo col che col
ParlaBO	PBC016	387-1	387-1	BOI038	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1426230&end=1429664	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	2-Professionals	M	piemonte	61-65	no	_	_	_	cambi di strade o // no il centro no è chiaro che ci sono delle zone che conosco poco // in periferia // dove ad esempio // io	immagino	non le ho mai fatte però immagino che ad esempio // è molto difficile // e riuscire a fare le rotonde // ah quello // le
ParlaBO	PBC016	387-8	387-8	BOI038	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1426230&end=1429664	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	2-Professionals	M	piemonte	61-65	no	_	_	_	no è chiaro che ci sono delle zone che conosco poco // in periferia // dove ad esempio // io immagino non le ho mai fatte però	immagino	che ad esempio // è molto difficile // e riuscire a fare le rotonde // ah quello // le rotonde devon essere molto difficili
ParlaBO	PBC016	490-11	490-11	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1754160&end=1759990	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	_	Modulazione del grado di confidenza	sotto una macchina non ci vai // ah beh si effettivamente // quindi sono molto cioè un aspetto positivo di di bolognna che	immagino	non c''è in altre città quindi comunque // che apprezza diciamo di bologna // sì i portici sono sono importanti // eh
ParlaBO	PBC016	665-7	665-7	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2295790&end=2299490	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	_	Modulazione del grado di confidenza|Attenuazione	è stata sicuramente // ehm // cioè da questo punto di vista è peggiorata // quindi ecco una una cosa che sicuramente	immagino	andrà migliorata // non so immagino anche // cioè nel se~ secondo lei quindi è una cosa he secondo eh andrebbe migliorata
ParlaBO	PBC016	666-2	666-2	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2300291&end=2301575	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	Filler	_	da questo punto di vista è peggiorata // quindi ecco una una cosa che sicuramente immagino andrà migliorata // non so	immagino	anche // cioè nel se~ secondo lei quindi è una cosa he secondo eh andrebbe migliorata s~ soprattutto nei per i e~ diciamo
ParlaBO	PBC016	786-4	786-4	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2692369&end=2695494	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	yes	_	_	Modulazione del grado di confidenza	a delle cose tattili a terra // non si può pensare di mettere dei pa~ delle cose sonore per le strisce // xxx anche perché si	immagino	anche capire // quando inizia una strada anche se passan delle macchine ad esempio non so o quello comunque cioè //
ParlaBO	PBC016	788-2	788-2	BOR010	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=2701690&end=2705021	semistructured-interview	00:48:51	2	asymmetric	yes	fixed	2022	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	capire // quando inizia una strada anche se passan delle macchine ad esempio non so o quello comunque cioè // perché mi	immagino	bologna solo sui rumori deve essere // basandosi solo sui rumori // complicato diciamo // ma sai io xx // io attraverso
KIP	TOC1004	548-2	548-2	TO019	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1004&begin=1486541&end=1489526	exam	01:08:11	3	asymmetric	yes	fixed	2018	TO	0-Students	F	sicilia	21-25	yes	Accordo	_	_	libero accesso alle mammelle // perché la sc~ // per la vitalità e per ehmh // eh allora // ma guardi che è banale eh // eh no	immagino	perché sono sempre così purtroppo // non è una cosa // ehmh // perché comunque entro un certo limite diciamo la scrofa poi
KIP	BOD2011	348-0	348-0	BO049	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=640730&end=641390	semistructured-interview	00:22:52	2	symmetric	yes	fixed	2018	BO	0-Students	F	emilia-romagna	21-25	yes	Conferma dell'attenzione	_	_	facevo un po'' da tramite // okay // però ascoltavo i problemi degli altri e se potevo davo qualche consiglio // // ecco //	immagino	// eh // e poi e qua~ f~ finiva il quattordici gennaio // ehmh // e quindi non potevo iniziare l'' università c'' erano due
KIP	BOD2011	698-9	698-9	BO075	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=1281646&end=1284970	semistructured-interview	00:22:52	2	symmetric	yes	fixed	2018	BO	0-Students	M	emilia-romagna	21-25	yes	_	_	Modulazione del grado di confidenza|Attenuazione	ma no non è vero non è vero non sono stato a parigi sono stato a lione // ah // e // che non c'' entra un cazzo tra l'' altro	immagino	invece eh // // // s~ sei stata a parigi te? // no è un'' altra città sì // anche a lione? // // a lione no però immagino sia
KIP	BOD2011	705-4	705-4	BO049	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=1288296&end=1292060	semistructured-interview	00:22:52	2	symmetric	yes	fixed	2018	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	l'' altro immagino invece eh // // // s~ sei stata a parigi te? // no è un'' altra città sì // anche a lione? // // a lione no però	immagino	sia diversa non so c~ come dire // eh // ma i~ sì anch'' io anch'' io immagino sia diversa // // no io io la francia te l'' ho
KIP	BOD2011	707-7	707-7	BO075	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=1289885&end=1292300	semistructured-interview	00:22:52	2	symmetric	yes	fixed	2018	BO	0-Students	M	emilia-romagna	21-25	no	_	_	_	città sì // anche a lione? // // a lione no però immagino sia diversa non so c~ come dire // eh // ma i~ sì anch'' io anch'' io	immagino	sia diversa // // no io io la francia te l'' ho buttata lì ma per pura per pura una pura questione lavorativa // // ah // ehmh //
