corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBC013	547-1	547-1	BOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=2513801&end=2516000	semistructured-interview	01:08:09	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	yes	_	Prolettico	_	lo considera anche un evoluzione positiva perché come dire sei entrata nel mondo nel grande mondo del eh come dire // sì	comunque	lo sviluppo il progresso // dello sviluppo del progresso eccetera // secondo me lasciando per strada tanta roba
KIPasti	KPN015	352-3	352-3	PKP062	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=976111&end=982070	free-conversation	00:38:02	3	symmetric	no	free	2020	RE	3-Technicians	M	_	56-60	no	_	_	_	// questo qua è un vino che è tende a spegnersi // // quello è vero però ha un momento dopo che lo mandi giù // ma quello perchè	comunque	ha mh il v~ il vino è acido di per sè quindi #a ghè tredes grèd ahn // a parte che secondo me si sentono è un~ una gradazione che
KIP	BOD2018	74-4	74-4	BO140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=292545&end=296310	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	26-30	yes	_	_	Attenuazione	in centro // okay // per for~ quindi per forza devi prendere la macchina per anda'' in centro? // sì generalmente sì perché	comunque	sia non mh // non ci sono piste ciclabili o cioè non c'' è possibilità di prender la bici o cioè andare a piedi si ma durante il
KIP	BOD2018	75-31	75-31	BO140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=297027&end=308710	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	26-30	yes	_	_	Marcatura dell'inferenza	o cioè non c'' è possibilità di prender la bici o cioè andare a piedi si ma durante il giorno è possibile perché poi di sera	comunque	son delle strade abbastanza buie // è brutto tornare a piedi // e quindi sì prendo sempre la macchina // mh è comoda e ti
KIP	BOD2018	284-11	284-11	BO140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=1104146&end=1117733	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	26-30	yes	_	Introduzione o ripresa del topic	_	per tutta la mia vita ma neanche in un centro piccolo come // okay // perchè non // vabbè al di là non offre niente non mh cioè	comunque	continuano a lavorarci le persone che ci hanno lavorato da una vita ma per i giovani non c'' è possibilità lavorativa a
KIP	BOD2018	288-0	288-0	BO140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=1137041&end=1145650	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	26-30	yes	_	_	Marcatura dell'inferenza	vado a lavorare in uno studio di ingegneria // e comunque rinchiudere tutta la mia vita a e non lo vorrò mai fare perché //	comunque	mh ti offre poco a livello sia cioè offre anche poco divertimento a livello giovanile ma anche per delle famiglie // cioè
KIP	BOD2018	351-26	351-26	BO140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=1382544&end=1393530	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	26-30	yes	_	_	Attenuazione	// e pesaro diciamo che è un po'' la la cioè la sìùá il compromesso giusto perché ti offre tanto di più e allo stesso tempo è	comunque	una piccola città e in cui vivi bene e // il compromesso // mh le persone si conoscono generalmente anche se // boh non so
KIP	BOD2018	438-4	438-4	BO140	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=1660212&end=1661720	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	26-30	yes	_	_	Marcatura dell'inferenza	molto // penso sia anni settanta xx // sì // a caso senza sapere // no comunque non ci sta niente di che // no vabbè ci andrò	comunque	// xx devo andare a // cioè in realtà non lo so // sto aspettando una mail dalla sovrintendenza per per la tesi // e è ad
ParlaTO	PTB003	160-3	160-3	TOR004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB003&begin=416146&end=418335	semistructured-interview	00:52:01	3	asymmetric	yes	fixed	2019	TO	0-Students	F	_	21-25	yes	_	Introduzione o ripresa del topic	_	ancora adesso il quarantacinque di scarpe porta il quarantacinque o il quarantasei ancora adesso // che roba // e d~ e	comunque	da gallipoli siete venuti a torino // e poi da gallipoli siamo venuti a tori~ sì // pensa che poi quando è venuto grande
KIPasti	KPC005	34-1	34-1	PKP063	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=101687&end=102973	free-conversation	00:32:16	3	symmetric	no	free	2021	AN	0-Students	M	_	21-25	yes	_	Chiusura del topic	_	// c''ero pur io // ah sì? // ma va // chissà com''è eravamo qua // mh // vabbè è stato solo un anno // speriamo // xxx // vabbè	comunque	// dopo vado da nonna ce~ p se ce vado verso le tre tre e mezza è sveglia? // ma sì // vado sto lì ~n oretta ~n oretta e mezza poi
KIP	BOA3006	240-1	240-1	BO021	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3006&begin=532700&end=534556	free-conversation	00:09:45	4	symmetric	no	free	2018	BO	0-Students	F	campania	21-25	yes	_	Prolettico	_	giro a dire guarda // sono beata // ho le stigmati // cioè capi'' già c'' ho la croce qua po'' pure le stigmati cioè sto se~ // no	comunque	sì secondo me // gesù mi vuole beatificare // cazzo posso fa'' io dante // questo moto ondulatorio // no maria // ma io mi sto
KIP	TOA1002	116-10	116-10	TO028	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1002&begin=322259&end=327337	office-hours	00:14:01	2	asymmetric	no	free	2018	TO	0-Students	F	piemonte	21-25	yes	_	_	Marcatura dell'inferenza	la possibilità di modificare il piano chi~ carriera // e quindi ci chiedevamo se in mobilità erasmus noi possiamo	comunque	modificare il nostro piano carriera // perché non possiamo dare esami qua però se la finestra si apre quando noi siam già
KIP	TOA1002	237-2	237-2	TO026	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1002&begin=663028&end=666683	office-hours	00:14:01	2	asymmetric	no	free	2018	TO	2-Professionals	M	piemonte	41-45	no	_	_	_	le cose dell'' università in spagnolo e non ho problemi // non so se in una conversazione avrei livello bi uno // sì // è la	comunque	c'' è un corso introduttivo diciamo di spagnolo // sì sì // sì sì sì là sì assolutamente // e tra l'' altro era l'' altro
ParlaBO	PBC004	1012-6	1012-6	BOR004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC004&begin=2634650&end=2640084	semistructured-interview	00:58:50	2	asymmetric	yes	fixed	2021	BO	0-Students	F	_	21-25	no	_	_	_	parlava anche del dialetto in realtà del fatto che appunto lei diceva che lei parla dialetto // e pensa che mh si stia	comunque	perdendo anche coi giovani e sia un peccato questo // certo // sì // sì intanto perché bologna è sempre stata una città
